Official symbol for Interactor A,Official symbol for Interactor B,Organism ID for Interactor A,Organism ID for Interactor B,Interaction Throughput,Quantitative Score,Genes,Log2FoldChange,FoldChange,Regulation
DYM,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.950726685,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
SAMD7,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.989516973,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
ZNF684,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.99725309,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
CMTM2,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.966007565,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
DDX20,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.992202508,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
GDE1,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.936099485,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
DARS2,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.9746437,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
SLC5A2,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.972374644,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
LOC146880,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.965337324,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
SLC39A11,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.968930321,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
CCDC59,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.960562841,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
LMAN1,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.985540624,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
RNF40,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.985704403,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
LRRC37A2,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.942688606,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
C19orf44,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.913086725,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
IL15,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.988211229,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
GAPDH,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.999997518,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
ZNF576,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.916526737,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
PCBP3,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.960136765,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
ITK,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.910427298,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
DPPA4,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.995367514,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
C16orf70,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.908223397,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
MFSD5,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.904427776,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
SLC5A2,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.958243113,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
HYAL4,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.960097116,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
PTPN20B,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.960795105,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
SLC25A52,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.983391204,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
PSG11,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.961691984,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
MAFF,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.988756192,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
DARS2,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.96317537,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
PHACTR4,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.986170597,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
C12orf50,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.985054359,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
CFAP46,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.984648186,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
DDX20,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.983794438,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
SAMD7,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.983490885,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
SPZ1,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.982622058,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
AP5B1,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.906328426,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
NUSAP1,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.964683005,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
MEIOB,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.966967491,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
LINGO2,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.968289032,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
KLRF1,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.968518642,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
ZNF684,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.994212701,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
DCP2,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.958119139,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
FECH,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.98611638,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
TRA2A,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.957839453,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
FAM117B,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.907288238,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
GAPDH,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.999999808,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
PRDM16,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,35.87588135,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
RAB32,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.90228026,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
MGST3,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.932257675,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
CEACAM21,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.973464816,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
CCDC59,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.9343638,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
CTH,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.944761949,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
ADCK3,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.944761949,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
MRPS18B,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.997606466,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
GALNT16,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.944763327,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
THAP1,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.947386233,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
ZDHHC23,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.949122963,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
GPX8,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.951210963,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
RASGEF1B,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.95150935,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
SWSAP1,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.953343321,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
SLC25A18,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.996350594,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
TAP1,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.944810464,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
CCDC50,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.972721839,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
COA5,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.963641969,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
MGST3,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.966623681,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
CTH,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.963291367,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
C12orf4,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.99848154,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
RASGEF1B,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.965311445,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
NPIPB6,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.978959008,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
MAFF,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.990410211,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
LETM2,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.92183732,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
ZNF780A,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.947864794,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
C12orf50,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.990807739,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
ASCL1,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.900347626,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
GRIA1,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.980291411,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
OR12D3,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.982762592,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
ZNF74,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.921492063,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
S100A7L2,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.98520094,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
DCP2,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.977641808,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
ADCK3,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.963291367,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
PSG11,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.976848203,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
ZNF623,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.988015896,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
C17orf89,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.980831111,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
PHACTR4,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.992132707,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
DNAJC15,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.983487372,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
OR4E2,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.938435611,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
LOC613266,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.975345393,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
FAM117B,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.920489611,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
SUMO1P1,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.953860629,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
HYAL4,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.973754005,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
GLRB,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.942325138,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
SLC39A11,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.982868237,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
GALNT16,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.960363195,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
ZNF664,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.968235255,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
SPZ1,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.991086544,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
MEIOB,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.978563027,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
KLRF1,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.982347065,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
AVPI1,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.962903739,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
NCAPD3,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.90609171,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
SWSAP1,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.963041297,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
CCDC50,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.978581918,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
L3MBTL4,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,19.48472187,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
ANKH,GAPDHS,Homo sapiens,Homo sapiens,High Throughput,0.995129165,GAPDHS,1.25112117533238,2.3802633081026,UpRegulated
CD83,TBRG4,Homo sapiens,Homo sapiens,High Throughput,0.946454439,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,MTOR,Homo sapiens,Homo sapiens,High Throughput,0.958184611,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,DAB2IP,Homo sapiens,Homo sapiens,High Throughput,0.957684337,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,TMEM192,Homo sapiens,Homo sapiens,High Throughput,0.956875643,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,GRK6,Homo sapiens,Homo sapiens,High Throughput,0.951964546,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,STEAP3,Homo sapiens,Homo sapiens,High Throughput,0.932794708,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,KIAA1524,Homo sapiens,Homo sapiens,High Throughput,0.963277463,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,SLC30A5,Homo sapiens,Homo sapiens,High Throughput,0.937537831,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,PIGA,Homo sapiens,Homo sapiens,High Throughput,0.924346181,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,BMPR1A,Homo sapiens,Homo sapiens,High Throughput,0.93949684,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,C1orf112,Homo sapiens,Homo sapiens,High Throughput,0.999748173,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,MYADM,Homo sapiens,Homo sapiens,High Throughput,0.915805145,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,BMPR1A,Homo sapiens,Homo sapiens,High Throughput,0.917559153,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,TSC2,Homo sapiens,Homo sapiens,High Throughput,0.968181557,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,KIAA1524,Homo sapiens,Homo sapiens,High Throughput,0.968747048,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,DAB2IP,Homo sapiens,Homo sapiens,High Throughput,0.977113303,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,THADA,Homo sapiens,Homo sapiens,High Throughput,0.902941082,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,RHOBTB3,Homo sapiens,Homo sapiens,High Throughput,0.966979385,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,SLC30A1,Homo sapiens,Homo sapiens,High Throughput,0.999918311,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,NDST1,Homo sapiens,Homo sapiens,High Throughput,0.999907688,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,SLC7A2,Homo sapiens,Homo sapiens,High Throughput,0.999654692,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,UGCG,Homo sapiens,Homo sapiens,High Throughput,0.999624967,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,ATP7A,Homo sapiens,Homo sapiens,High Throughput,0.999356708,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,TBRG4,Homo sapiens,Homo sapiens,High Throughput,0.933734103,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,C1orf112,Homo sapiens,Homo sapiens,High Throughput,0.997926573,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,RADIL,Homo sapiens,Homo sapiens,High Throughput,0.997491915,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,CERS5,Homo sapiens,Homo sapiens,High Throughput,0.997310188,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,BMPR2,Homo sapiens,Homo sapiens,High Throughput,0.995347583,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,USP8,Homo sapiens,Homo sapiens,High Throughput,0.994232288,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,PTPRD,Homo sapiens,Homo sapiens,High Throughput,0.989679929,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,XPO6,Homo sapiens,Homo sapiens,High Throughput,0.988376584,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,ATP2B2,Homo sapiens,Homo sapiens,High Throughput,0.984884314,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,XPO6,Homo sapiens,Homo sapiens,High Throughput,0.973651517,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,ATP2B2,Homo sapiens,Homo sapiens,High Throughput,0.983209195,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,RHOBTB3,Homo sapiens,Homo sapiens,High Throughput,0.977092246,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,SLC30A5,Homo sapiens,Homo sapiens,High Throughput,0.92791657,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,STAG1,Homo sapiens,Homo sapiens,High Throughput,0.975513224,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,CERK,Homo sapiens,Homo sapiens,High Throughput,0.975386702,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,PTPRD,Homo sapiens,Homo sapiens,High Throughput,0.979329046,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,SLC30A1,Homo sapiens,Homo sapiens,High Throughput,0.999917056,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,MTOR,Homo sapiens,Homo sapiens,High Throughput,0.907514322,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,CERK,Homo sapiens,Homo sapiens,High Throughput,0.979339337,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,NDST1,Homo sapiens,Homo sapiens,High Throughput,0.999785231,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,ATP7A,Homo sapiens,Homo sapiens,High Throughput,0.999160016,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,STAG1,Homo sapiens,Homo sapiens,High Throughput,0.920341956,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,IFITM3,Homo sapiens,Homo sapiens,High Throughput,0.969001979,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,TSC2,Homo sapiens,Homo sapiens,High Throughput,0.934335636,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,SLC7A2,Homo sapiens,Homo sapiens,High Throughput,0.999906447,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,USP8,Homo sapiens,Homo sapiens,High Throughput,0.994945737,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,UGCG,Homo sapiens,Homo sapiens,High Throughput,0.999552748,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,GRK6,Homo sapiens,Homo sapiens,High Throughput,0.952454585,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,SLC39A11,Homo sapiens,Homo sapiens,High Throughput,0.963509745,CD83,1.223622827613,2.33532417165544,UpRegulated
CD83,RADIL,Homo sapiens,Homo sapiens,High Throughput,0.999199031,CD83,1.223622827613,2.33532417165544,UpRegulated
PLK2,CPA4,Homo sapiens,Homo sapiens,High Throughput,0.901126815,PLK2,-1.21779078014174,2.3259027558588,DownRegulated
PLK2,ANKRD44,Homo sapiens,Homo sapiens,High Throughput,0.999820724,PLK2,-1.21779078014174,2.3259027558588,DownRegulated
PLK2,RNASE7,Homo sapiens,Homo sapiens,High Throughput,0.918681516,PLK2,-1.21779078014174,2.3259027558588,DownRegulated
PLK2,RABL6,Homo sapiens,Homo sapiens,High Throughput,0.96373865,PLK2,-1.21779078014174,2.3259027558588,DownRegulated
PLK2,ANKRD44,Homo sapiens,Homo sapiens,High Throughput,0.999284376,PLK2,-1.21779078014174,2.3259027558588,DownRegulated
PLK2,SDR9C7,Homo sapiens,Homo sapiens,High Throughput,0.948533421,PLK2,-1.21779078014174,2.3259027558588,DownRegulated
PLK2,SERPINA1,Homo sapiens,Homo sapiens,High Throughput,0.97974043,PLK2,-1.21779078014174,2.3259027558588,DownRegulated
PLK2,SERPINB7,Homo sapiens,Homo sapiens,High Throughput,0.982626695,PLK2,-1.21779078014174,2.3259027558588,DownRegulated
PLK2,SUGP1,Homo sapiens,Homo sapiens,High Throughput,0.96238485,PLK2,-1.21779078014174,2.3259027558588,DownRegulated
MPP3,PLK2,Homo sapiens,Homo sapiens,High Throughput,1.0,PLK2,-1.21779078014174,2.3259027558588,DownRegulated
PLK2,SERPINB7,Homo sapiens,Homo sapiens,High Throughput,0.977947095,PLK2,-1.21779078014174,2.3259027558588,DownRegulated
PLK2,SUGP1,Homo sapiens,Homo sapiens,High Throughput,0.988713436,PLK2,-1.21779078014174,2.3259027558588,DownRegulated
PLK2,ALAD,Homo sapiens,Homo sapiens,High Throughput,0.926009379,PLK2,-1.21779078014174,2.3259027558588,DownRegulated
DDX39A,C11orf96,Homo sapiens,Homo sapiens,High Throughput,3.961082889,C11orf96,1.20309706712657,2.30233388262407,UpRegulated
NFKBIA,SPDL1,Homo sapiens,Homo sapiens,High Throughput,0.996429686,NFKBIA,1.19305978331471,2.28637141297789,UpRegulated
NFKBIA,CUEDC1,Homo sapiens,Homo sapiens,High Throughput,0.953951632,NFKBIA,1.19305978331471,2.28637141297789,UpRegulated
NFKBIA,NFKB2,Homo sapiens,Homo sapiens,High Throughput,0.999999944,NFKBIA,1.19305978331471,2.28637141297789,UpRegulated
NFKBIA,NFKB1,Homo sapiens,Homo sapiens,High Throughput,0.999999994,NFKBIA,1.19305978331471,2.28637141297789,UpRegulated
NFKBIA,TBCE,Homo sapiens,Homo sapiens,High Throughput,0.998407568,NFKBIA,1.19305978331471,2.28637141297789,UpRegulated
NFKBIA,HIF1AN,Homo sapiens,Homo sapiens,High Throughput,0.999669203,NFKBIA,1.19305978331471,2.28637141297789,UpRegulated
NFKBIA,CHUK,Homo sapiens,Homo sapiens,High Throughput,0.998575827,NFKBIA,1.19305978331471,2.28637141297789,UpRegulated
NFKBIA,SPECC1L,Homo sapiens,Homo sapiens,High Throughput,0.969063052,NFKBIA,1.19305978331471,2.28637141297789,UpRegulated
NFKBIA,CUEDC1,Homo sapiens,Homo sapiens,High Throughput,0.973718481,NFKBIA,1.19305978331471,2.28637141297789,UpRegulated
NFKBIA,NME2P1,Homo sapiens,Homo sapiens,High Throughput,0.974078248,NFKBIA,1.19305978331471,2.28637141297789,UpRegulated
NFKBIA,SPDL1,Homo sapiens,Homo sapiens,High Throughput,0.997494335,NFKBIA,1.19305978331471,2.28637141297789,UpRegulated
NFKBIA,OGDHL,Homo sapiens,Homo sapiens,High Throughput,0.99995733,NFKBIA,1.19305978331471,2.28637141297789,UpRegulated
NFKBIA,SRC,Homo sapiens,Homo sapiens,High Throughput,0.972877795,NFKBIA,1.19305978331471,2.28637141297789,UpRegulated
NFKBIA,SRC,Homo sapiens,Homo sapiens,High Throughput,0.99340417,NFKBIA,1.19305978331471,2.28637141297789,UpRegulated
NFKBIA,PRTFDC1,Homo sapiens,Homo sapiens,High Throughput,0.985019062,NFKBIA,1.19305978331471,2.28637141297789,UpRegulated
NFKBIA,TBC1D24,Homo sapiens,Homo sapiens,High Throughput,0.99624,NFKBIA,1.19305978331471,2.28637141297789,UpRegulated
NFKBIA,TBCE,Homo sapiens,Homo sapiens,High Throughput,0.997772992,NFKBIA,1.19305978331471,2.28637141297789,UpRegulated
NFKBIA,PPP1R9A,Homo sapiens,Homo sapiens,High Throughput,0.996319935,NFKBIA,1.19305978331471,2.28637141297789,UpRegulated
NFKBIA,HIF1AN,Homo sapiens,Homo sapiens,High Throughput,0.998836452,NFKBIA,1.19305978331471,2.28637141297789,UpRegulated
NFKBIA,PTRHD1,Homo sapiens,Homo sapiens,High Throughput,0.900333721,NFKBIA,1.19305978331471,2.28637141297789,UpRegulated
NFKBIA,NME2P1,Homo sapiens,Homo sapiens,High Throughput,0.994117811,NFKBIA,1.19305978331471,2.28637141297789,UpRegulated
NFKBIA,REL,Homo sapiens,Homo sapiens,High Throughput,1.0,NFKBIA,1.19305978331471,2.28637141297789,UpRegulated
NFKBIA,RELB,Homo sapiens,Homo sapiens,High Throughput,1.0,NFKBIA,1.19305978331471,2.28637141297789,UpRegulated
NFKBIA,NFKBIB,Homo sapiens,Homo sapiens,High Throughput,0.999957128,NFKBIA,1.19305978331471,2.28637141297789,UpRegulated
NFKBIA,RELA,Homo sapiens,Homo sapiens,High Throughput,0.999999997,NFKBIA,1.19305978331471,2.28637141297789,UpRegulated
NFKBIA,NFKB2,Homo sapiens,Homo sapiens,High Throughput,0.999999966,NFKBIA,1.19305978331471,2.28637141297789,UpRegulated
NFKBIA,NFKB1,Homo sapiens,Homo sapiens,High Throughput,0.999999949,NFKBIA,1.19305978331471,2.28637141297789,UpRegulated
NFKBIA,ANKRD27,Homo sapiens,Homo sapiens,High Throughput,0.999999933,NFKBIA,1.19305978331471,2.28637141297789,UpRegulated
MED19,NFKBIA,Homo sapiens,Homo sapiens,High Throughput,1.0,NFKBIA,1.19305978331471,2.28637141297789,UpRegulated
NFKBIA,ANKRD27,Homo sapiens,Homo sapiens,High Throughput,0.999999971,NFKBIA,1.19305978331471,2.28637141297789,UpRegulated
NFKBIA,NFKBIB,Homo sapiens,Homo sapiens,High Throughput,0.999996845,NFKBIA,1.19305978331471,2.28637141297789,UpRegulated
