Gene,Disease
LIF,"Lymphoma, Ovarian Carcinoma, Malignant neoplasm of ovary, Neoplasm Metastasis, Leukemia, Liver neoplasms, Mammary Neoplasms, leukemia, Pancreatic carcinoma, Malignant neoplasm of pancreas, Malignant neoplasm of mouth, Adult T-Cell Lymphoma/Leukemia, Brain Neoplasms, Fibroid Tumor, Tumor Progression, Malignant neoplasm of breast, Liver carcinoma, Colon Carcinoma, Osteosarcoma of bone, Lip and Oral Cavity Carcinoma, melanoma, Breast Carcinoma, Osteosarcoma, Prostate carcinoma, ovarian neoplasm, Myeloid Leukemia, Squamous cell carcinoma, Malignant neoplasm of prostate, Endometrial adenocarcinoma, Mouth Neoplasms, Renal Cell Carcinoma, Oral Cavity Carcinoma, Renal carcinoma, Choriocarcinoma, Stromal Neoplasm, Ewings sarcoma-primitive neuroectodermal tumor (PNET), Uterine Neoplasms, Cholangiocarcinoma, Cutaneous Melanoma, Rhabdomyosarcoma, Primary Effusion Lymphoma"
LTB,"Lymphoma, Leukemia, Liver neoplasms, leukemia, Pancreatic carcinoma, Malignant neoplasm of pancreas, Chronic Lymphocytic Leukemia, Tumor Progression, Bladder Neoplasm, Liver carcinoma, Acute lymphocytic leukemia, Malignant neoplasm of urinary bladder, Carcinoma of bladder, Malignant Head and Neck Neoplasm, Myeloid Leukemia, Malignant lymphoma, Precursor T-Cell Lymphoblastic Leukemia-Lymphoma, Head and Neck Carcinoma, Splenic Marginal Zone B-Cell Lymphoma, Nasopharyngeal carcinoma ORPHA:150"
MAFB,"Lymphoma, Leukemia, leukemia, Liver carcinoma, Nasopharyngeal carcinoma, Precursor T-Cell Lymphoblastic Leukemia-Lymphoma"
MASP2,"Ovarian Carcinoma, Malignant neoplasm of ovary, Diffuse Large B-Cell Lymphoma, Liver carcinoma, Colorectal Neoplasms, Lymphoma, Squamous cell carcinoma of esophagus"
MIR17HG,"Lymphoma, Non-Small Cell Lung Carcinoma, cervical cancer, Tumor Angiogenesis, Malignant tumor of cervix, Neoplasm Metastasis, Leukemia, Cervix carcinoma, Kaposi Sarcoma, Liver neoplasms, leukemia, Pancreatic carcinoma, Malignant neoplasm of pancreas, Diffuse Large B-Cell Lymphoma, Brain Neoplasms, Malignant neoplasm of lung, Chronic Lymphocytic Leukemia, Tumor Progression, Malignant neoplasm of breast, Liver carcinoma, Colonic Neoplasms, Nasopharyngeal carcinoma, Carcinoma of lung, Stomach Carcinoma, B-Cell Lymphomas, Colon Carcinoma, Malignant neoplasm of stomach, Osteosarcoma of bone, melanoma, Primary malignant neoplasm of lung, Breast Carcinoma, Osteosarcoma, Small cell carcinoma of lung, Prostate carcinoma, Adenocarcinoma, Malignant tumor of colon, Malignant neoplasm of prostate, Hematologic Neoplasms, Hematopoietic Neoplasms, Malignant neoplasm of liver, Renal Cell Carcinoma, Solid Neoplasm, Colorectal Carcinoma, Pancreatic Ductal Adenocarcinoma, Myeloid Leukemia, Esophageal Neoplasms, Neoplasms, Colorectal Cancer, Secondary malignant neoplasm of lung, Carcinoma breast stage IV, Malignant Neoplasms, Adenocarcinoma Of Esophagus, Renal carcinoma, Malignant neoplasm of esophagus, Ki-1+ Anaplastic Large Cell Lymphoma, Anaplastic thyroid carcinoma, Squamous cell carcinoma of esophagus, Acute leukemia, Esophageal carcinoma, Malignant lymphoma, Hemangiosarcoma, Conventional (Clear Cell) Renal Cell Carcinoma, Burkitt Lymphoma, Malignant neoplasm of kidney, Malignant neoplasm of gastrointestinal tract, Triple Negative Breast Neoplasms, Cholangiocarcinoma, Rhabdomyosarcoma"
MIR22HG,"Malignant neoplasm of breast, Stomach Neoplasms, Gastric Cancer"
MIR616,"Non-Small Cell Lung Carcinoma, Neoplasm Metastasis, Prostate carcinoma, Malignant neoplasm of prostate, Primary malignant neoplasm, Malignant Neoplasms, Metastatic Neoplasm, androgen independent prostate cancer"
NANOS1,"Non-Small Cell Lung Carcinoma, Neoplasm Metastasis, Malignant neoplasm of breast, Breast Carcinoma"
NANOS3,"Non-Small Cell Lung Carcinoma, Lung Neoplasms, Malignant neoplasm of lung, Carcinoma of lung, Primary malignant neoplasm of lung"
NCOA7,"Malignant neoplasm of breast, Breast Carcinoma, Prostatic Neoplasms, Malignant neoplasm of prostate"
NFKBIA,"Non-Small Cell Lung Carcinoma, Ovarian Carcinoma, cervical cancer, Malignant neoplasm of ovary, Malignant tumor of cervix, Lung Neoplasms, Neoplasm Metastasis, Mammary Neoplasms, Cervix carcinoma, Pancreatic carcinoma, Epithelial ovarian cancer, Malignant neoplasm of pancreas, Malignant neoplasm of mouth, Brain Neoplasms, Malignant neoplasm of lung, Malignant neoplasm of breast, Liver carcinoma, Nasopharyngeal carcinoma, Carcinoma of lung, Stomach Carcinoma, Colon Carcinoma, Malignant neoplasm of stomach, Lip and Oral Cavity Carcinoma, melanoma, Primary malignant neoplasm of lung, Breast Carcinoma, Colorectal Neoplasms, Prostate carcinoma, Adenocarcinoma, Malignant tumor of colon, Squamous cell carcinoma, Malignant neoplasm of prostate, Pancreatic Neoplasm, Malignant neoplasm of liver, Classical Hodgkin's Lymphoma, Colorectal Carcinoma, Sarcoma, Colorectal Cancer, Nodular Lymphocyte Predominant Hodgkin Lymphoma, Tumor Initiation, Precancerous Conditions, Adult Hodgkin Lymphoma, gliosarcoma, Liver and Intrahepatic Biliary Tract Carcinoma, Undifferentiated carcinoma, Squamous cell carcinoma of esophagus, Hodgkin lymphoma, Mixed Cellularity Hodgkin Lymphoma, Lymphocyte Rich Classical Hodgkin Lymphoma, Burkitt Lymphoma, Squamous cell carcinoma of lung, Breast Cancer, Pancreatic Cancer, Hodgkin Lymphoma, Nasopharyngeal carcinoma ORPHA:150, T-cell large granular lymphocyte leukemia ORPHA:86872, MALT lymphoma ORPHA:52417"
NFKBIZ,"Lymphoma, Cutaneous Melanoma, Nasopharyngeal carcinoma ORPHA:150, T-cell large granular lymphocyte leukemia ORPHA:86872, MALT lymphoma ORPHA:52417"
NPTX1,"cervical cancer, Malignant tumor of cervix, Cervix carcinoma, Small cell carcinoma of lung, Colorectal Cancer"
NR4A3,"Lymphoma, Non-Small Cell Lung Carcinoma, Neoplasm Metastasis, Leukemia, leukemia, Diffuse Large B-Cell Lymphoma, Fibroid Tumor, Chronic Lymphocytic Leukemia, Malignant neoplasm of breast, Liver carcinoma, Nasopharyngeal carcinoma, Carcinoma of lung, melanoma, Breast Carcinoma, Small cell carcinoma of lung, Prostate carcinoma, Myeloid Leukemia, Malignant neoplasm of prostate, Hematologic Neoplasms, Chondrosarcoma, Sarcoma, Primary malignant neoplasm, Malignant Neoplasms, Myeloid neoplasm, Soft Tissue Neoplasms"
NUAK2,"Ovarian Carcinoma, Malignant neoplasm of ovary, Tumor Progression, melanoma"
OXTR,"Non-Small Cell Lung Carcinoma, Ovarian Carcinoma, Lung Neoplasms, Epithelial ovarian cancer, Malignant neoplasm of lung, Fibroid Tumor, Malignant neoplasm of breast, Carcinoma of lung, Osteosarcoma of bone, Primary malignant neoplasm of lung, Breast Carcinoma, Osteosarcoma, Small cell carcinoma of lung, Secondary malignant neoplasm of lymph node, Adenocarcinoma Of Esophagus"
PLAU,"Lymphoma, Non-Small Cell Lung Carcinoma, Ovarian Carcinoma, cervical cancer, Malignant neoplasm of ovary, Tumor Angiogenesis, Malignant tumor of cervix, Lung Neoplasms, Neoplasm Metastasis, Leukemia, Cervix carcinoma, Liver neoplasms, Mammary Neoplasms, Pancreatic carcinoma, Adenocarcinoma of pancreas, Epithelial ovarian cancer, Malignant neoplasm of pancreas, Malignant neoplasm of mouth, Adult T-Cell Lymphoma/Leukemia, Brain Neoplasms, Malignant neoplasm of lung, Tumor Progression, Malignant neoplasm of breast, Bladder Neoplasm, Liver carcinoma, Colonic Neoplasms, Endometrial Neoplasms, Carcinoma of lung, Stomach Carcinoma, Colon Carcinoma, Fibrosarcoma, Malignant neoplasm of stomach, Osteosarcoma of bone, Lip and Oral Cavity Carcinoma, Stomach Neoplasms, melanoma, Primary malignant neoplasm of lung, Breast Carcinoma, Osteosarcoma, Small cell carcinoma of lung, Colorectal Neoplasms, Prostate carcinoma, Adenocarcinoma, Malignant tumor of colon, ovarian neoplasm, Myeloid Leukemia, Prostatic Neoplasms, Malignant neoplasm of endometrium, Uterine Corpus Cancer, Squamous cell carcinoma, Malignant neoplasm of prostate, Malignant neoplasm of urinary bladder, Pancreatic Neoplasm, Mouth Neoplasms, Malignant Head and Neck Neoplasm, Malignant neoplasm of liver, Renal Cell Carcinoma, Solid Neoplasm, Endometrial Carcinoma, Acute myelomonocytic leukemia, Carcinoma, Colorectal Carcinoma, Pancreatic Ductal Adenocarcinoma, Metastatic melanoma, Esophageal Neoplasms, Neoplasms, Chondrosarcoma, Sarcoma, Secondary malignant neoplasm of lymph node, Colorectal Cancer, Secondary malignant neoplasm of lung, Invasive carcinoma of breast, Carcinoma breast stage IV, Stage IV Ovarian Carcinoma, Secondary malignant neoplasm of liver, Precancerous Conditions, tumor vasculature, Neoplasm Invasiveness, Disseminated Malignant Neoplasm, Thyroid Neoplasm, Papillary thyroid carcinoma, Renal carcinoma, gliosarcoma, Childhood Acute Lymphoblastic Leukemia, Liver and Intrahepatic Biliary Tract Carcinoma, Hereditary Diffuse Gastric Cancer, Squamous cell carcinoma of esophagus, Clear Cell Sarcoma of Soft Tissue, Invasive Ductal Breast Carcinoma, Invasive Carcinoma, Squamous cell carcinoma of mouth, Carcinoma of ampulla of Vater, Malignant neoplasm of gastrointestinal tract, Adenocarcinoma of colon, Squamous cell carcinoma of lung, Carcinoid Tumor, Rhabdomyosarcoma, Pancreatic Cancer, Gastric Cancer, Adenocarcinoma of ovary ORPHA:213504"
PLK2,"Lymphoma, Non-Small Cell Lung Carcinoma, Ovarian Carcinoma, Malignant neoplasm of ovary, Lung Neoplasms, Leukemia, Pancreatic carcinoma, Epithelial ovarian cancer, Malignant neoplasm of pancreas, Chronic Lymphocytic Leukemia, Tumor Progression, Liver carcinoma, Osteosarcoma of bone, Osteosarcoma, Adenocarcinoma, Squamous cell carcinoma, Hematologic Neoplasms, Malignant neoplasm of liver, Adenocarcinoma of lung (disorder), Sarcoma, Carcinoma of larynx, Malignant neoplasm of larynx, Myeloid neoplasm, Liver and Intrahepatic Biliary Tract Carcinoma, Undifferentiated carcinoma, Carcinomatosis, Anaplastic carcinoma, Childhood Osteosarcoma, Burkitt Lymphoma, Carcinoma, Anaplastic Carcinoma"
POTEF,"Non-Small Cell Lung Carcinoma, Ovarian Carcinoma, Malignant neoplasm of ovary, Lung Neoplasms, Leukemia, leukemia, Pancreatic carcinoma, Adenocarcinoma of pancreas, Malignant neoplasm of pancreas, Malignant neoplasm of lung, Fibroid Tumor, Malignant neoplasm of breast, Bladder Neoplasm, Liver carcinoma, Colonic Neoplasms, Carcinoma of lung, Stomach Carcinoma, B-Cell Lymphomas, Colon Carcinoma, Malignant neoplasm of stomach, Stomach Neoplasms, melanoma, Primary malignant neoplasm of lung, Breast Carcinoma, Small cell carcinoma of lung, Acute lymphocytic leukemia, Colorectal Neoplasms, Prostate carcinoma, Adenocarcinoma, Malignant tumor of colon, Squamous cell carcinoma, Malignant neoplasm of prostate, Endometrial adenocarcinoma, Malignant neoplasm of urinary bladder, Carcinoma of bladder, Infiltrating Cervical Carcinoma, Colorectal Carcinoma, Myeloid Leukemia, Precursor B-cell lymphoblastic leukemia, Colorectal Cancer, Invasive carcinoma of breast, Secondary malignant neoplasm of liver, Adenocarcinoma Of Esophagus, Childhood Acute Lymphoblastic Leukemia, Mucosa-Associated Lymphoid Tissue Lymphoma, Familial primary gastric lymphoma, Gastric Adenocarcinoma, Ductal Carcinoma"
PTAFR,"Non-Small Cell Lung Carcinoma, Ovarian Carcinoma, Malignant neoplasm of ovary, Neoplasm Metastasis, leukemia, ovarian neoplasm"
RASL11B,Tumor Progression
RCAN1,"Lymphoma, Tumor Angiogenesis, Lung Neoplasms, Neoplasm Metastasis, Kaposi Sarcoma, leukemia, melanoma, Thyroid carcinoma, Small cell carcinoma of lung, Endometrial adenocarcinoma, Colorectal Carcinoma, Colorectal Cancer, Secondary malignant neoplasm of lung, Malignant neoplasm of thyroid, tumor vasculature, Malignant Neoplasm"
RGS2,"Ovarian Carcinoma, Malignant neoplasm of ovary, Mammary Neoplasms, Leukemia, Epithelial ovarian cancer, Malignant neoplasm of breast, Bladder Neoplasm, Malignant neoplasm of stomach, Stomach Neoplasms, Breast Carcinoma, Prostate carcinoma, Prostatic Neoplasms, Malignant neoplasm of prostate, Malignant neoplasm of urinary bladder, Carcinoma of bladder, androgen independent prostate cancer, Hereditary Diffuse Gastric Cancer, Breast Cancer, Gastric Cancer"
RND1,"Neoplasm Metastasis, Mammary Neoplasms, Malignant neoplasm of breast, Liver carcinoma, Breast Carcinoma, Mammary Tumorigenesis, Triple Negative Breast Neoplasms"
S100A3,"Neoplasm Metastasis, Stomach Carcinoma, Malignant neoplasm of stomach"
SCTR,"Neoplasm Metastasis, Pancreatic carcinoma, Adenocarcinoma of pancreas, Malignant neoplasm of pancreas, Malignant neoplasm of lung, Liver carcinoma, Prostate carcinoma, Adenocarcinoma, Malignant neoplasm of prostate, Pancreatic Neoplasm, Malignant neoplasm of liver, Colorectal Cancer, Liver and Intrahepatic Biliary Tract Carcinoma, Bile duct carcinoma, Cholangiocarcinoma, Carcinoid Tumor"
SDC4,"Non-Small Cell Lung Carcinoma, Leukemia, Liver neoplasms, Mammary Neoplasms, Malignant neoplasm of breast, Liver carcinoma, Colon Carcinoma, Osteosarcoma of bone, Lymphoma, melanoma, Breast Carcinoma, Osteosarcoma, Malignant tumor of colon, Hematopoietic Neoplasms, Adenocarcinoma of ovary ORPHA:213504"
SERPINA3,"Ovarian Carcinoma, Malignant neoplasm of ovary, Neoplasm Metastasis, Cervix carcinoma, Liver neoplasms, Pancreatic carcinoma, Epithelial ovarian cancer, Malignant neoplasm of pancreas, Malignant neoplasm of breast, Liver carcinoma, Prostate carcinoma, ovarian neoplasm, Prostatic Neoplasms, Malignant neoplasm of prostate, Neoplasms, Recurrent tumor, Pseudotumor Cerebri"
SNORD14C,"Non-Small Cell Lung Carcinoma, cervical cancer, Malignant tumor of cervix, Neoplasm Metastasis, Cervix carcinoma, leukemia, Malignant neoplasm of breast, B-Cell Lymphomas, Osteosarcoma of bone, Breast Carcinoma, Osteosarcoma, Prostate carcinoma, Malignant neoplasm of prostate, Adenocarcinoma of lung (disorder), Colorectal Carcinoma, Colorectal Cancer, Squamous cell carcinoma of the head and neck, Peripheral T-Cell Lymphoma, Conventional (Clear Cell) Renal Cell Carcinoma"
SNORD14D,"Non-Small Cell Lung Carcinoma, cervical cancer, Malignant tumor of cervix, Neoplasm Metastasis, Cervix carcinoma, leukemia, Malignant neoplasm of breast, B-Cell Lymphomas, Osteosarcoma of bone, Breast Carcinoma, Osteosarcoma, Prostate carcinoma, Malignant neoplasm of prostate, Adenocarcinoma of lung (disorder), Colorectal Carcinoma, Colorectal Cancer, Squamous cell carcinoma of the head and neck, Peripheral T-Cell Lymphoma, Conventional (Clear Cell) Renal Cell Carcinoma"
SOD2,"Lymphoma, Non-Small Cell Lung Carcinoma, Ovarian Carcinoma, Malignant neoplasm of ovary, Lung Neoplasms, Neoplasm Metastasis, Mammary Neoplasms, Liver neoplasms, Pancreatic carcinoma, Epithelial ovarian cancer, Malignant neoplasm of pancreas, Malignant neoplasm of mouth, Diffuse Large B-Cell Lymphoma, Brain Neoplasms, Malignant neoplasm of lung, Tumor Progression, Malignant neoplasm of breast, Bladder Neoplasm, Liver carcinoma, Colonic Neoplasms, Nasopharyngeal carcinoma, Carcinoma of lung, Stomach Carcinoma, B-Cell Lymphomas, Colon Carcinoma, Malignant neoplasm of stomach, Lip and Oral Cavity Carcinoma, Stomach Neoplasms, melanoma, Primary malignant neoplasm of lung, Breast Carcinoma, Secondary malignant neoplasm of bone, Acute lymphocytic leukemia, Colorectal Neoplasms, Prostate carcinoma, Adenocarcinoma, Malignant tumor of colon, ovarian neoplasm, Prostatic Neoplasms, Squamous cell carcinoma, Malignant neoplasm of prostate, Malignant neoplasm of urinary bladder, Pancreatic Neoplasm, Mouth Neoplasms, Carcinoma of bladder, Experimental Organism Basal Cell Carcinoma, Malignant neoplasm of liver, Renal Cell Carcinoma, Adenocarcinoma of lung (disorder), Classical Hodgkin's Lymphoma, Colorectal Carcinoma, Myeloid Leukemia, Esophageal Neoplasms, Neoplasms, Sarcoma, Secondary malignant neoplasm of lymph node, Colorectal Cancer, Skin Neoplasms, Squamous cell carcinoma of the head and neck, Precursor Cell Lymphoblastic Leukemia Lymphoma, Malignant Neoplasms, Carcinoma, Tumor Initiation, Precancerous Conditions, Neoplasm Invasiveness, Kidney Neoplasm, Oral Cavity Carcinoma, Malignant neoplasm of esophagus, Reticulosarcoma, Liver and Intrahepatic Biliary Tract Carcinoma, Hereditary Diffuse Gastric Cancer, Undifferentiated carcinoma, Anaplastic thyroid carcinoma, Carcinomatosis, Benign Neoplasm, Squamous cell carcinoma of esophagus, Anaplastic carcinoma, Adenocarcinoma of prostate, Invasive Ductal Breast Carcinoma, Conventional (Clear Cell) Renal Cell Carcinoma, Mast-Cell Sarcoma, Malignant neoplasm of skin, Malignant neoplasm of kidney, Malignant neoplasm of tongue, Histiocytic sarcoma, Squamous cell carcinoma of tongue, Ductal Carcinoma, Breast Cancer, Pancreatic Cancer, Gastric Cancer, Malignant Neoplasm, Urinary Bladder Cancer, Anaplastic Carcinoma, Skin Cancer"
SPG7,"Lymphoma, Ovarian Carcinoma, Malignant neoplasm of ovary, Leukemia, Liver neoplasms, leukemia, Adenocarcinoma of pancreas, Brain Neoplasms, Chronic Lymphocytic Leukemia, Malignant neoplasm of breast, Liver carcinoma, B-Cell Lymphomas, Osteosarcoma of bone, melanoma, Breast Carcinoma, Osteosarcoma, Tumor Promotion, Acute lymphocytic leukemia, Prostate carcinoma, Malignant neoplasm of prostate, Hematologic Neoplasms, Solid Neoplasm, Colorectal Carcinoma, Precursor B-cell lymphoblastic leukemia, Sarcoma, Colorectal Cancer, Secondary malignant neoplasm of lung, Primary malignant neoplasm, Precursor Cell Lymphoblastic Leukemia Lymphoma, Malignant Neoplasms, Tumor Initiation, Childhood Leukemia"
STAT5A,"Lymphoma, Non-Small Cell Lung Carcinoma, Ovarian Carcinoma, cervical cancer, Malignant tumor of cervix, Lung Neoplasms, Neoplasm Metastasis, Mammary Neoplasms, Leukemia, Cervix carcinoma, Liver neoplasms, leukemia, Epithelial ovarian cancer, Adult T-Cell Lymphoma/Leukemia, Diffuse Large B-Cell Lymphoma, Brain Neoplasms, Malignant neoplasm of lung, Chronic Lymphocytic Leukemia, Tumor Progression, Malignant neoplasm of breast, Liver carcinoma, Nasopharyngeal carcinoma, Stomach Carcinoma, B-Cell Lymphomas, Colon Carcinoma, Malignant neoplasm of stomach, Breast Carcinoma, Tumor Promotion, Acute Promyelocytic Leukemia, Acute lymphocytic leukemia, Prostate carcinoma, Adenocarcinoma, Malignant tumor of colon, ovarian neoplasm, Myeloid Leukemia, Prostatic Neoplasms, Squamous cell carcinoma, Malignant neoplasm of prostate, Malignant Head and Neck Neoplasm, Hematologic Neoplasms, Hematopoietic Neoplasms, Solid Neoplasm, Adenocarcinoma of lung (disorder), Classical Hodgkin's Lymphoma, Colorectal Carcinoma, Metastatic melanoma, Neoplasms, Precursor B-cell lymphoblastic leukemia, Colorectal Cancer, Squamous cell carcinoma of the head and neck, Primary malignant neoplasm, Precursor Cell Lymphoblastic Leukemia Lymphoma, Malignant Neoplasms, Carcinoma, Tumor Initiation, Precancerous Conditions, Head and Neck Neoplasms, Undifferentiated carcinoma, Carcinomatosis, Juvenile Myelomonocytic Leukemia, Adrenocortical carcinoma, Acute leukemia, Anaplastic carcinoma, Invasive Ductal Breast Carcinoma, Invasive Carcinoma, Childhood Leukemia, Precursor T-Cell Lymphoblastic Leukemia-Lymphoma, Mammary Tumorigenesis, Philadelphia chromosome-positive acute lymphoblastic leukemia, Adenocarcinoma of large intestine, Ductal Carcinoma, Breast Cancer, Lung Cancer, Anaplastic Carcinoma, T-cell large granular lymphocyte leukemia ORPHA:86872"
STX11,"Leukemia, Peripheral T-Cell Lymphoma, Nasopharyngeal carcinoma ORPHA:150, T-cell large granular lymphocyte leukemia ORPHA:86872"
THBS1,"Lymphoma, Non-Small Cell Lung Carcinoma, Ovarian Carcinoma, cervical cancer, Malignant neoplasm of ovary, Tumor Angiogenesis, Malignant tumor of cervix, Lung Neoplasms, Neoplasm Metastasis, Mammary Neoplasms, Cervix carcinoma, Kaposi Sarcoma, Liver neoplasms, leukemia, Pancreatic carcinoma, Adenocarcinoma of pancreas, Epithelial ovarian cancer, Malignant neoplasm of pancreas, Adult T-Cell Lymphoma/Leukemia, Malignant neoplasm of lung, Fibroid Tumor, Leukemia, Tumor Progression, Malignant neoplasm of breast, Liver carcinoma, Nasopharyngeal carcinoma, Malignant neoplasm of vulva, Carcinoma of lung, Stomach Carcinoma, Colon Carcinoma, Fibrosarcoma, Malignant neoplasm of stomach, Osteosarcoma of bone, Stomach Neoplasms, melanoma, Primary malignant neoplasm of lung, Breast Carcinoma, Osteosarcoma, Thyroid carcinoma, Acute Promyelocytic Leukemia, Colorectal Neoplasms, Prostate carcinoma, Adenocarcinoma, Malignant tumor of colon, Myeloid Leukemia, Prostatic Neoplasms, Malignant neoplasm of endometrium, Uterine Corpus Cancer, Squamous cell carcinoma, Malignant neoplasm of prostate, Pancreatic Neoplasm, Carcinoma, CARCINOMA OF VULVA, Renal Cell Carcinoma, Infiltrating Cervical Carcinoma, Solid Neoplasm, Endometrial Carcinoma, Adenocarcinoma of lung (disorder), Colorectal Carcinoma, Pancreatic Ductal Adenocarcinoma, Metastatic melanoma, Neoplasms, Sarcoma, Secondary malignant neoplasm of lymph node, Colorectal Cancer, Secondary malignant neoplasm of lung, Invasive carcinoma of breast, Urothelial Carcinoma, Primary malignant neoplasm, Malignant Neoplasms, Malignant neoplasm of thyroid, Precancerous Conditions, tumor vasculature, Metastatic Neoplasm, Skin carcinoma, Thyroid Neoplasm, Papillary thyroid carcinoma, Renal carcinoma, Follicular thyroid carcinoma, Promyelocytic leukemia, Squamous cell carcinoma of esophagus, Adrenocortical carcinoma, Recurrent tumor, Hemangiosarcoma, Invasive Ductal Breast Carcinoma, Conventional (Clear Cell) Renal Cell Carcinoma, Triple Negative Breast Neoplasms, Carcinoid Tumor, Breast Cancer, Adenocarcinoma of ovary ORPHA:213504"
TICAM1,"Pancreatic carcinoma, Malignant neoplasm of pancreas, Malignant neoplasm of breast, Breast Cancer"
TMEM88,"Neoplasm Metastasis, Malignant neoplasm of lung, Malignant neoplasm of breast, Carcinoma of lung, Primary malignant neoplasm of lung, Breast Carcinoma, Secondary malignant neoplasm of lymph node, Primary malignant neoplasm, Malignant Neoplasms, Triple Negative Breast Neoplasms"
