"","Caco-2 cells of no treatment group-1","Caco-2 cells of no treatment group-2","Caco-2 cells of no treatment group-3","Caco-2 cells of B. subtilis CW14 treatment group-1","Caco-2 cells of B. subtilis CW14 treatment group-2","Caco-2 cells of B. subtilis CW14 treatment group-3"
"121506",327,298,261,310,204,339
"397",173,244,283,171,229,212
"105369670",0,0,2,0,0,0
"5149",0,0,0,1,2,0
"101928340",0,0,0,0,0,0
"107984506",0,0,0,0,0,0
"85004",0,0,0,1,0,3
"100873980",0,0,0,0,0,0
"5800",2,4,4,1,5,8
"105369673",0,1,0,1,1,0
"105369672",0,0,0,2,3,2
"2059",4280,3621,4368,3942,4219,4979
"102724146",196,197,248,186,233,255
"11171",4013,4025,4850,3321,3960,3953
"51071",2856,2490,2675,2287,1961,2345
"101928362",2,4,0,4,4,4
"729025",0,1,1,0,1,0
"4257",1840,1450,1556,1184,977,1371
"107984494",3,7,8,3,3,7
"55885",5,7,4,2,6,4
"105369677",0,0,0,0,0,0
"728622",4,6,1,3,0,4
"105369678",2,0,1,0,2,1
"100616279",0,0,0,0,0,0
"79785",1,1,0,1,0,0
"5288",2,2,2,0,7,4
"89869",1,0,0,0,5,1
"93661",0,0,0,0,0,0
"102724227",0,0,2,0,2,0
"107984527",0,0,0,0,1,0
"54477",1185,1073,1151,1063,960,1285
"112268092",79,88,118,92,165,154
"121536",1965,1738,1900,1495,1464,1815
"101928387",33,30,38,25,25,30
"105369682",4,1,3,0,6,3
"100506393",0,0,0,0,0,0
"105369685",0,0,0,0,0,0
"105369684",0,0,0,0,0,0
"105369686",0,0,0,0,0,1
"105369687",0,0,0,0,0,0
"105369688",0,0,1,0,0,0
"5139",21,17,12,17,9,19
"53919",10,11,11,7,6,5
"28234",2,0,3,1,1,2
"115072896",5,1,3,3,1,3
"338821",0,0,0,0,0,0
"10599",2,3,0,0,1,0
"6579",39,38,39,61,29,52
"3375",0,0,0,0,0,0
"79912",1210,913,1103,843,830,877
"5965",800,639,736,672,555,746
"51026",1810,1644,2132,1555,2171,1713
"80763",3,2,5,3,5,6
"2998",10,3,12,0,7,6
"3945",19720,17488,18225,15711,14293,16529
"105369689",4,4,7,4,0,11
"102724261",2,4,2,2,1,2
"3764",139,183,294,115,140,163
"10060",104,154,179,141,107,204
"55907",1940,1880,2069,1710,1764,1801
"105369690",30,35,29,18,48,29
"107984497",3,0,0,0,1,0
"6489",5,3,2,1,5,2
"112268093",0,0,0,0,1,1
"105369151",0,0,0,0,0,0
"9847",1650,1400,1465,1609,1406,1908
"105369692",0,0,0,2,2,0
"105369691",11,6,10,9,10,14
"55500",3511,2652,3166,2810,2762,3181
"107984516",0,4,1,0,6,0
"101928441",0,0,0,0,0,0
"6660",111,110,113,106,69,153
"105369697",1,0,0,0,1,0
"105369696",0,0,0,0,0,0
"100126320",0,0,0,0,0,0
"101928471",0,0,0,0,0,0
"144360",1,0,0,3,4,2
"105369698",2,2,3,2,0,0
"586",679,1121,1661,675,680,1389
"105369699",9,15,29,11,12,37
"107984475",0,0,0,3,0,0
"196415",0,0,0,0,0,0
"645177",1,1,2,1,2,4
"4033",46,50,42,35,30,47
"55259",7,4,4,2,2,9
"144363",329,244,269,272,230,241
"3845",2557,2441,3122,2290,2678,3297
"105369701",0,0,1,0,2,1
"160492",1,2,2,3,5,1
"100422897",0,0,0,0,0,0
"100506451",18,19,42,10,16,27
"11228",311,271,371,277,187,335
"107984501",0,2,1,0,5,1
"79365",73,65,82,91,103,96
"8082",55,36,28,60,28,41
"101928554",3,4,0,0,5,0
"105369705",1,0,3,1,2,0
"105369704",4,1,3,1,3,15
"107984482",0,0,1,2,0,0
"3709",520,473,598,493,393,786
"105369706",0,3,6,4,0,3
"55726",1404,1179,1287,1002,997,1389
"26127",1300,1142,1316,1049,1126,1073
"51768",1047,1030,991,953,769,1031
"9412",631,579,722,444,481,568
"728858",0,2,4,5,12,8
"23012",925,801,1004,868,691,1122
"56938",316,341,440,289,210,432
"101928646",19,13,28,16,18,22
"341346",1,1,3,12,2,4
"8496",787,831,1091,670,841,1173
"107984461",8,7,1,7,7,4
"387849",9,14,6,3,4,2
"60488",3532,3056,3401,2524,2602,2858
"100287284",2,1,1,1,0,6
"57542",350,345,412,337,299,465
"105369709",0,0,0,1,2,0
"5744",24,6,19,13,15,7
"105369710",0,1,1,0,0,0
"107984462",0,0,0,0,0,0
"729291",33,26,26,44,28,33
"55297",549,409,505,401,299,426
"101928705",2,3,4,6,3,1
"105369711",0,0,0,0,0,0
"101928735",42,38,46,39,45,43
"55711",914,541,540,674,598,630
"100506606",48,32,40,41,42,45
"51290",1713,1341,1549,1229,1376,1335
"101055625",0,1,0,0,0,0
"341350",5,6,1,0,5,0
"83857",1,6,3,4,7,6
"105369714",0,0,0,0,0,0
"105369715",0,0,0,0,0,0
"105369716",0,0,2,0,0,0
"105369717",0,0,0,3,0,0
"105369718",0,0,1,0,0,0
"105369719",1,1,0,1,0,1
"105369720",0,6,3,4,3,6
"10526",812,703,769,922,922,1065
"65981",285,322,361,290,302,445
"645485",1,0,0,0,1,0
"100287314",4,4,7,6,1,8
"107984476",0,0,0,0,0,0
"441631",6,3,2,7,3,2
"100506660",39,54,40,36,35,29
"1663",842,926,1048,787,820,1132
"144203",5,4,6,5,6,8
"58516",5261,4810,5411,4940,6162,6290
"79857",12,21,25,15,13,11
"101929027",48,21,54,43,41,27
"160518",1949,1622,1943,1601,1178,1915
"100874249",22,15,28,16,25,30
"254013",205,191,187,157,207,215
"196394",358,303,341,267,319,357
"105369722",5,6,6,7,9,7
"105369724",33,32,36,26,54,41
"107984470",0,0,0,1,0,0
"440093",17,19,26,14,14,29
"107984532",7,6,8,7,4,2
"105369723",0,0,0,0,0,0
"105369725",57,48,44,34,44,50
"55196",3078,2264,2941,2255,2026,2657
"102724618",1,3,3,2,8,2
"107984473",0,3,5,4,0,0
"636",132,123,133,117,122,182
"121512",1548,1233,1382,1109,1283,1614
"10059",1753,1713,2005,1502,1445,2037
"51067",999,847,1168,690,815,913
"5318",1692,1645,2027,1400,1586,1995
"341359",0,0,0,1,0,0
"105369726",0,0,0,0,0,0
"84920",267,239,255,258,291,324
"107984469",0,1,2,0,0,0
"144245",222,202,213,186,232,271
"144402",468,451,503,388,457,533
"107984504",18,11,16,10,8,21
"107984484",0,0,0,0,0,0
"105369730",0,1,1,2,1,2
"55605",1974,1793,2466,1465,1454,1902
"101927019",6,3,3,4,8,4
"225",0,0,2,0,1,1
"283461",0,0,1,2,0,1
"114134",36,25,36,40,32,32
"112268095",0,1,0,1,0,0
"101930164",0,0,0,0,0,1
"105369734",0,1,0,1,1,0
"107984474",0,0,0,0,0,0
"105369735",0,0,0,0,0,0
"120892",1,2,2,1,12,7
"105369736",0,1,2,0,7,1
"283463",4,5,3,7,16,6
"1272",5,0,0,0,1,3
"107984496",0,0,0,0,0,0
"29951",0,1,0,1,0,0
"107984499",0,0,0,0,0,0
"107984498",0,1,1,0,0,0
"101927038",0,0,0,1,0,0
"105378247",0,0,1,0,1,2
"283464",968,832,1082,767,951,1121
"10138",635,616,694,512,576,686
"85437",1780,1553,1732,1586,1466,1528
"102467003",2,0,1,0,0,1
"51535",1366,1110,1391,1117,1149,1307
"144165",8,9,10,6,9,8
"101927058",0,0,0,0,4,0
"105369738",0,0,0,0,0,0
"105369739",0,1,0,0,0,0
"105369740",0,0,0,0,0,0
"80070",2,5,3,2,5,1
"83448",737,673,658,689,617,878
"51135",416,338,389,350,326,392
"5756",6670,5187,5862,4619,4916,5110
"84216",406,342,438,278,191,303
"4753",2,6,7,3,3,7
"440097",0,1,3,1,0,0
"105369742",0,0,0,0,0,0
"83956",0,0,1,0,0,0
"51054",188,185,308,181,144,215
"196527",3950,3417,4212,3772,3602,4783
"105369743",11,18,11,2,10,5
"105369744",0,0,4,0,1,0
"400027",414,471,488,421,402,394
"196528",680,763,859,763,971,1162
"105369745",13,3,8,8,13,13
"9169",2597,2608,3200,2389,2485,3468
"81539",6273,5672,7640,4853,4294,6314
"105378248",18,14,26,11,24,36
"54407",11482,8828,11222,7063,6082,7104
"102723757",13,15,21,5,8,8
"100288798",97,67,99,88,67,89
"55089",87,81,117,88,77,128
"107984466",2,2,4,1,2,6
"347902",165,148,133,127,124,159
"91523",91,88,73,79,76,87
"100616486",0,0,0,0,0,0
"100233209",1,3,7,1,7,3
"105369746",3,4,10,0,1,0
"105369747",1,0,1,1,0,0
"107984528",2,4,3,1,3,2
"100616478",0,0,0,0,0,0
"111082992",2,0,0,0,3,0
"79657",1298,1228,1376,1031,959,1199
"105369748",40,18,15,28,29,20
"8909",7,2,8,17,9,9
"10411",34,43,28,26,29,42
"55652",186,202,234,154,206,246
"51564",611,698,888,576,551,735
"107984503",1,3,0,4,2,2
"7421",299,284,302,279,228,440
"79022",1861,1549,1697,1521,1217,1489
"1280",1226,1240,1198,954,869,1187
"105369752",65,58,49,53,49,63
"105369750",28,28,15,28,10,34
"29843",492,489,531,477,581,614
"5213",1605,1487,1715,1370,1472,1918
"102466657",1,0,0,0,0,0
"140461",326,371,434,293,382,385
"387856",0,2,0,0,2,1
"102725258",3,6,9,3,4,1
"121275",0,2,0,2,5,0
"105369753",0,0,1,0,0,0
"341567",0,1,4,0,0,2
"121274",207,178,256,259,232,344
"121273",0,1,1,1,0,0
"23519",0,1,0,0,0,0
"341568",0,0,0,0,2,0
"3906",0,0,0,0,0,0
"54934",1021,945,1176,714,774,708
"677815",5,2,4,3,5,2
"100302221",4,1,3,3,5,1
"677793",12,4,3,4,0,11
"677794",2,4,1,0,1,4
"904",1856,1688,1904,1659,2165,2044
"255411",526,599,761,454,570,535
"112",1376,1560,1888,1308,1608,1703
"100616262",2,1,3,9,2,2
"100506125",31,37,28,24,29,17
"101927241",0,1,9,5,3,3
"784",506,472,560,484,484,581
"9416",1850,1914,2541,1638,1857,2146
"105369755",33,34,36,40,35,52
"27289",343,378,380,786,688,1296
"85478",85,94,111,83,74,114
"51303",782,746,1121,706,730,802
"377",3501,3177,3861,2969,2978,3600
"7480",208,208,210,239,162,230
"7471",23,30,24,24,35,40
"105369757",1,2,2,1,3,3
"105369756",1,0,2,0,0,0
"23109",114,105,136,104,97,120
"105369758",171,154,157,122,162,168
"5571",1260,1048,1295,1001,1046,1023
"8085",1700,1737,1952,1780,1872,2833
"121268",45,59,53,24,46,35
"50846",2,4,4,2,11,1
"105369759",5,7,5,0,4,5
"55716",746,787,819,777,1025,865
"10376",24132,21827,24592,16718,15714,18906
"105369760",6,5,10,7,10,10
"7846",1690,1640,2064,921,1178,1041
"84790",15257,12731,15360,9965,9826,10616
"101927267",153,183,169,120,172,143
"5630",42,39,49,34,47,37
"10024",1732,1672,1862,1210,1756,1986
"338761",99,84,64,91,82,66
"79962",2642,2389,2711,2194,1964,2708
"65244",1267,1127,1223,1076,924,1355
"100335030",30,31,24,20,44,27
"23416",32,25,37,33,31,24
"105369761",0,4,3,3,1,4
"10445",1217,1277,1608,994,983,1224
"84070",12,14,11,11,9,18
"25766",143,195,201,162,180,200
"91010",170,230,248,169,206,230
"7009",23976,21617,26216,19450,21312,24327
"57701",181,230,220,179,183,253
"100286844",23,28,39,20,21,36
"144233",49,65,55,45,40,84
"23017",7,7,7,6,6,2
"283332",0,0,0,0,0,0
"101927292",1,1,0,1,0,1
"105369763",4,2,2,2,1,0
"359",0,0,0,1,0,0
"101927318",0,0,0,0,0,0
"362",3,1,2,1,1,4
"105369764",1,2,1,3,4,0
"363",4,6,3,3,2,9
"102723963",3,1,3,1,1,1
"29127",2666,2274,2648,2014,2377,2577
"41",374,372,367,351,337,469
"6602",1897,1866,2326,1564,1778,2261
"2819",436,402,376,476,268,436
"84987",733,659,711,615,603,698
"91012",1098,1120,1217,926,1197,1208
"51474",4304,3311,4228,3135,3341,3537
"100302220",2,0,1,0,3,1
"107984505",14,14,19,3,14,13
"121006",4,10,1,1,5,5
"113251",2435,2351,2820,2228,2422,2958
"106633800",29,9,12,22,26,12
"57609",2228,2028,2437,1902,2568,2780
"466",1123,962,1036,782,774,936
"283471",0,3,0,0,1,1
"25840",781,584,636,616,473,808
"613227",5,3,2,8,9,17
"4891",18359,12346,10834,18844,16750,17532
"25875",4832,4321,4628,4015,4672,4544
"81566",951,816,1085,774,805,890
"7024",1003,886,1151,755,815,1091
"5463",81,84,97,84,62,100
"9802",6187,5427,6423,4958,5725,5425
"57228",1102,954,1224,803,683,858
"102723983",159,156,118,138,115,135
"51411",15,10,11,22,27,13
"105369767",0,1,2,3,5,2
"1990",0,1,1,0,8,1
"11226",1867,1926,2331,1643,1498,2440
"9498",165,289,391,188,196,432
"107984508",4,6,8,4,5,8
"105369768",0,0,0,1,0,1
"6334",282,331,281,328,239,448
"401720",10,15,9,3,6,19
"105369971",2,2,0,2,4,2
"341405",4,0,0,0,0,1
"94",6,9,5,12,6,5
"91",2396,2192,2557,1733,2005,2344
"692159",3,3,5,4,10,10
"160622",30,23,21,45,33,51
"3164",7043,6467,6594,5951,4882,7038
"107984510",19,19,39,23,27,44
"60673",1692,1484,1813,1275,1323,1302
"113523638",4,4,1,9,9,22
"26628",7,7,3,16,11,27
"112268096",82,59,56,90,103,109
"105369771",76,52,44,85,47,89
"144501",45,66,93,58,31,86
"283403",4,0,0,0,2,0
"283404",7,2,6,3,5,7
"3855",7,8,16,16,12,26
"109729127",7,8,16,8,12,21
"85349",0,0,3,0,1,1
"3892",33,41,46,29,37,66
"3887",9,12,22,13,21,26
"3889",9,14,6,4,4,8
"3891",0,0,4,0,0,2
"3890",0,1,0,0,0,0
"3888",0,0,0,0,0,1
"9119",0,2,1,0,0,0
"3854",0,1,2,6,4,10
"286887",0,1,2,0,0,4
"3853",5,10,13,8,3,6
"3852",0,4,6,0,3,0
"112802",7,9,23,6,7,12
"121391",0,0,1,0,0,3
"140807",0,0,0,2,2,0
"319101",1,0,1,1,0,0
"100127967",0,0,0,0,0,0
"105369772",0,0,0,0,0,0
"3849",0,0,1,1,0,2
"3848",0,0,0,0,0,0
"374454",0,0,0,0,0,0
"51350",0,0,0,0,0,1
"3850",10,8,12,7,8,12
"3851",7,13,15,6,5,9
"338785",1,4,2,1,3,0
"196374",37,34,47,37,34,50
"3856",52326,51475,68362,39430,41485,49292
"113218482",3843,4094,5202,3050,3270,3459
"3875",28123,28366,39127,17442,20279,23022
"1975",18546,16817,18689,14906,16114,16318
"283335",120,110,116,93,95,122
"23371",209,166,157,163,125,210
"102466193",1,1,0,1,1,1
"84926",167,154,209,161,132,173
"3489",459,523,549,378,430,358
"8435",963,910,844,884,745,927
"51380",276,355,379,256,374,444
"283337",443,468,645,425,455,495
"3695",7,7,11,6,11,12
"5916",36,59,59,66,69,81
"84975",212,223,256,163,224,201
"9700",597,541,646,684,564,968
"5204",3138,2832,3181,2725,2779,2274
"112268097",1096,1013,1144,918,1039,804
"60314",465,551,600,453,469,541
"8086",602,621,792,494,516,652
"121340",1,0,0,0,0,0
"6667",3284,2899,3528,3112,3686,4403
"269",1,1,0,1,0,4
"54458",4173,3768,4524,3311,3313,3848
"5094",12603,12205,14477,11360,12821,13462
"102157401",938,992,1169,879,942,1053
"7786",738,814,897,706,843,875
"6895",331,358,417,273,260,336
"114108587",85,77,96,63,100,85
"8620",4,12,16,7,13,5
"11016",456,405,494,378,399,530
"100652999",48,57,53,59,46,100
"517",4041,3874,4465,3167,3712,3689
"57658",1021,973,1146,948,1089,1178
"105369774",5,2,4,1,1,2
"102216268",0,0,0,0,0,0
"105378250",2,0,0,0,0,0
"107984525",0,3,0,0,0,1
"100874366",16,14,22,13,13,14
"3229",120,118,169,63,108,85
"105369775",4,7,8,9,6,6
"3228",93,127,111,121,116,124
"100124700",17,20,21,22,22,26
"3227",96,126,119,120,98,119
"100874365",9,5,10,10,9,5
"3226",106,107,151,99,119,131
"406973",1,0,0,0,0,0
"100874364",6,27,13,16,16,23
"100874363",6,16,17,12,5,21
"3225",66,75,93,76,74,80
"107984512",10,13,18,17,21,26
"3224",63,95,105,64,88,112
"3221",42,38,55,35,26,43
"3222",25,51,45,27,34,52
"3223",170,131,154,131,148,168
"693200",0,0,0,0,0,0
"440101",5,1,1,4,10,9
"100240735",0,1,3,1,1,3
"100240734",0,5,4,2,1,2
"23583",351,303,358,284,273,361
"400043",2,1,2,3,10,5
"105369776",8,8,5,2,4,17
"102724030",0,0,2,1,4,1
"105369777",1,1,0,0,0,2
"23468",1357,1362,1428,1426,1553,2079
"100616400",59,79,80,49,65,68
"112935960",45,37,25,40,89,50
"3178",44026,42058,45943,33353,36271,39864
"4778",31,64,39,49,49,69
"22818",2779,2350,2756,2194,2646,2440
"442892",1,2,4,0,1,2
"102724050",22,21,21,19,37,18
"53831",0,1,1,2,0,2
"25946",388,435,443,420,481,472
"3678",1218,1243,1337,1184,2049,1239
"121355",0,0,0,0,0,0
"3071",3,5,10,5,6,5
"5153",0,1,4,3,0,3
"5502",2,0,0,0,0,0
"644076",0,0,0,0,0,0
"90070",0,0,0,0,0,0
"117159",0,5,2,0,1,0
"118430",0,0,0,0,0,0
"9840",2,7,1,1,6,4
"107984515",0,0,0,0,0,0
"58158",0,0,0,0,0,0
"101927484",0,0,0,0,0,0
"441639",0,0,0,0,0,0
"121364",0,0,0,0,0,0
"254783",0,0,0,0,0,0
"283365",0,0,0,0,0,0
"390321",0,0,0,0,0,0
"254786",0,0,0,0,0,0
"390323",0,0,0,0,0,0
"403282",0,0,0,0,0,0
"390326",0,0,0,0,0,0
"341416",0,0,0,0,0,0
"390327",0,0,0,0,0,0
"403284",0,0,0,0,0,0
"341418",0,0,0,0,0,0
"121129",0,0,0,0,0,0
"121130",0,0,0,0,0,0
"196410",1170,858,819,977,710,1037
"3679",414,368,403,399,413,456
"100528022",364,323,383,286,275,308
"2647",210,163,261,151,179,187
"5959",267,262,250,230,202,212
"967",7846,7980,9707,6619,7488,6738
"105369779",98,75,127,83,54,94
"10220",474,387,430,324,357,482
"84324",1500,1102,1439,923,904,952
"29095",564,487,623,400,357,432
"85406",376,388,424,321,386,459
"440104",362,336,303,345,316,430
"4327",150,159,136,155,143,161
"84305",667,629,669,506,519,614
"1606",638,587,770,583,730,663
"6490",229,170,213,156,197,178
"1017",1460,1377,1765,1102,1034,1489
"5869",1612,1444,1881,1454,1714,1844
"6821",1519,1420,1755,1333,1470,1635
"64375",345,350,407,264,404,440
"105369781",12,7,4,9,12,11
"105369780",24,18,33,22,24,28
"6231",8242,7797,8636,6239,7092,6244
"2065",6158,5347,6301,5474,5112,7144
"105369782",1721,1426,1796,1198,1500,1492
"5036",3806,3512,4028,2786,2658,3245
"6171",42423,33215,35745,28560,28180,24308
"84872",41,53,50,59,34,91
"23344",1801,1591,1923,1486,1305,1888
"107987175",47,63,52,40,59,56
"140465",427,460,469,368,432,474
"4637",8856,7889,8980,7717,7293,6661
"6601",1257,1344,1561,1181,1259,1651
"100189152",0,0,1,0,0,1
"107984468",2,0,4,8,4,4
"10193",755,855,1002,613,868,827
"79035",570,587,536,454,464,575
"283375",3870,3788,4090,3738,3657,3962
"283373",736,876,1102,756,999,1144
"93058",210,235,257,175,209,235
"1431",4281,3863,4948,3444,3838,4633
"10330",1082,1067,1259,906,847,930
"112268098",49,60,71,43,57,61
"9924",733,860,857,903,931,1155
"51561",47,41,57,122,76,96
"6773",950,1012,1223,866,1103,1344
"319",5,9,16,15,13,7
"8914",537,734,790,584,468,869
"4284",0,2,5,7,1,0
"283377",341,351,394,345,336,443
"27165",227,203,243,239,226,300
"106635541",9,2,2,0,4,2
"5939",1199,1248,1506,992,1485,1526
"11176",2899,2980,3520,2988,4335,4161
"506",15091,13519,15510,11930,12614,14262
"692090",10,22,11,4,4,8
"26789",15,10,12,9,9,4
"10728",7962,7898,8885,6226,7140,7367
"4666",25791,23468,24942,22681,24677,21812
"5557",866,624,633,638,471,619
"8630",15,30,25,22,15,6
"121214",0,0,1,2,0,1
"8608",85,80,70,90,79,140
"11318",1,0,0,3,3,4
"9880",158,221,225,176,286,250
"6866",80,63,97,57,78,88
"4640",1206,1077,1133,1117,1008,1141
"23306",874,900,1096,936,1124,1340
"4665",1364,1141,1216,1092,966,1221
"6778",1268,1256,1578,1086,1222,1629
"4035",6902,7242,7888,8186,8092,9576
"105751187",30,23,25,30,31,31
"100302201",2,1,1,3,2,3
"11247",36,45,55,29,38,43
"6472",2346,2304,3013,1859,2040,2327
"56901",5,6,9,4,14,5
"246329",4,13,9,12,13,23
"22864",1064,875,962,844,869,1213
"3626",12,3,12,32,16,51
"83729",59,55,67,52,46,64
"2735",9,6,9,3,3,4
"64333",9,10,3,4,12,8
"4141",2285,2416,3566,1664,1781,2389
"102465454",22,28,28,15,14,16
"1649",6082,5028,5521,3644,3774,2893
"693201",81,104,93,25,22,52
"114785",1010,1033,1304,864,943,1269
"10540",2078,1893,2385,1881,1829,1986
"3798",218,152,223,211,261,254
"79837",979,914,1185,787,874,1035
"196403",103,139,157,108,158,151
"115557",34,38,34,49,46,56
"101927583",0,1,2,3,0,0
"65012",9,9,7,4,5,6
"2583",59,58,39,43,37,34
"10956",7027,6373,7095,6167,5741,6218
"116986",30,21,29,24,25,22
"100130776",23,10,26,25,18,19
"6302",898,868,1100,755,816,994
"1019",1199,1161,1514,999,1008,1332
"102466729",7,3,4,2,4,3
"92979",270,263,303,262,266,303
"1594",153,188,190,171,197,227
"4234",267,225,297,181,152,191
"25895",166,178,193,170,212,191
"10102",455,463,595,426,360,571
"10677",45,44,39,22,45,74
"10106",3147,2868,3996,2410,3066,3396
"407016",3,3,10,3,0,1
"105369783",11,11,12,2,2,8
"283387",6,2,1,5,1,0
"101927608",1,0,0,0,1,0
"100506844",17,30,19,17,17,14
"91419",138,140,151,109,102,145
"105369784",0,0,0,0,0,0
"105369785",0,2,0,0,1,0
"105369786",0,0,0,0,0,0
"105369787",2,2,0,6,0,0
"105369788",1,3,0,0,0,0
"105369789",4,2,0,1,1,0
"101927653",0,0,1,1,6,1
"100506869",0,1,0,0,3,0
"121227",744,603,761,578,448,788
"105369791",15,7,2,9,4,8
"105369792",0,0,0,0,1,0
"9194",26,29,30,23,18,27
"105369793",0,0,0,0,0,0
"338811",6,4,6,4,7,4
"9958",1296,1157,1308,1005,1064,1100
"102465133",9,7,10,9,7,10
"23041",679,644,722,714,851,966
"283416",10,22,22,2,10,15
"406891",2,2,1,1,1,0
"57460",1650,1806,2042,1403,1344,2147
"105369795",1,2,2,2,2,0
"552",0,0,0,0,0,0
"105369797",0,0,0,0,0,0
"283417",4,0,3,1,6,8
"10329",187,140,128,138,110,121
"104169670",14,8,21,24,7,15
"113218505",114,114,127,79,87,77
"57522",816,777,1052,547,624,881
"105369801",30,13,30,16,38,59
"105369798",4,6,4,4,1,4
"144577",133,93,107,90,104,92
"115749",96,85,114,110,82,92
"11260",3165,3090,3941,2331,2777,2918
"29110",896,782,925,704,699,908
"105369803",0,1,2,0,4,0
"107984521",0,0,0,0,0,0
"105369804",3,5,5,5,13,10
"283349",2142,1690,1936,1607,1847,2040
"100500856",1,1,1,2,0,1
"693129",1,1,1,2,0,1
"2799",3725,3087,3898,3353,3203,4142
"23329",333,361,410,344,360,433
"400046",0,3,2,1,5,6
"109729131",0,0,0,0,0,0
"107984522",0,0,0,0,0,0
"11197",3,1,4,5,1,2
"23592",1385,1112,1186,893,1129,1019
"253827",3,4,3,2,7,9
"100507065",0,0,2,0,0,0
"105369809",0,0,1,1,0,0
"105369187",0,0,0,0,0,0
"105369808",0,0,0,0,0,0
"105369807",0,0,0,0,0,0
"105369806",0,0,0,0,0,0
"204010",1,3,2,1,4,0
"8091",1038,903,1010,853,907,1050
"100129940",12,9,18,16,13,9
"102464827",0,3,0,0,2,0
"105369810",0,0,0,0,0,0
"84298",713,600,712,539,612,536
"103625681",27,25,48,29,21,23
"51643",1147,852,879,836,680,916
"11213",0,0,0,1,0,1
"102465249",0,0,0,0,0,0
"92797",42,50,59,54,48,73
"23426",7,0,16,6,11,4
"105369811",0,0,0,0,0,1
"102724421",0,0,0,0,0,0
"55832",3154,2777,3058,2925,2846,3739
"105369813",1,0,3,3,4,0
"105369812",5,2,8,3,10,4
"102724433",0,0,0,0,1,0
"100507175",0,0,0,0,0,1
"105369815",0,0,0,0,0,0
"8445",1424,1320,1485,1546,1736,1935
"105369816",10,13,11,26,23,16
"101927901",29,26,41,25,17,25
"107984531",0,2,0,2,4,0
"107984526",3,1,4,3,1,4
"101927922",3,1,1,0,0,0
"100885789",0,0,0,0,0,0
"3458",0,0,3,0,0,0
"105369818",0,0,1,0,0,0
"55801",0,0,3,0,0,0
"50616",0,0,0,0,0,0
"56890",146,118,115,114,68,148
"105369819",0,1,1,0,1,1
"100507195",0,1,0,2,1,3
"5908",2464,2011,2584,1893,1934,2461
"100379132",6,3,2,2,6,4
"100507250",16,6,8,1,7,6
"57122",1508,1261,1288,1086,1003,1454
"55508",421,444,458,400,393,586
"105369820",5,11,12,8,11,15
"100130075",1,0,0,0,0,3
"4193",5052,3307,4335,4116,2932,6558
"1368",520,356,443,414,287,580
"107984471",1,0,1,0,0,1
"11052",1126,1144,1310,1319,1408,1783
"100302182",12,24,33,20,43,44
"4069",738,645,661,469,450,426
"8089",911,664,785,611,564,667
"105369822",1,0,1,1,2,3
"10818",981,759,981,903,856,1091
"109623461",0,0,5,2,2,1
"100500903",0,0,0,0,0,0
"100500868",0,0,0,0,0,0
"10576",5033,4138,4864,3611,2931,3755
"376132",0,0,0,0,0,1
"105369823",0,0,0,0,0,0
"144453",0,0,1,2,0,2
"101928002",4,1,6,7,5,21
"117177",1118,1002,1342,1496,1062,2257
"196446",35,25,26,43,29,28
"105369826",0,0,0,0,0,0
"101928062",36,43,52,28,67,45
"4848",2088,1723,2099,1570,1884,1723
"27345",48,58,37,55,68,80
"105369827",0,0,0,0,0,0
"5787",97,67,78,85,78,81
"105369828",8,7,8,4,21,7
"5801",244,175,162,194,222,172
"7103",3719,2187,2344,2473,2260,1737
"105369831",1,0,0,0,0,0
"105369832",6,4,1,1,0,1
"8549",146,179,288,120,78,251
"105369833",0,1,2,1,0,4
"196441",1694,1714,2242,2005,2885,2809
"107984529",77,70,95,28,60,50
"83591",113,99,124,86,76,100
"55266",193,160,227,191,125,171
"107984530",2,4,5,0,2,0
"23011",1493,1410,1754,1236,1406,1500
"64786",1594,1362,1589,1109,1285,1326
"729633",45,46,53,29,81,30
"121278",0,0,4,0,2,0
"29953",1,6,0,2,2,2
"283392",0,0,0,0,0,0
"105369838",0,0,0,0,0,0
"101928137",0,0,1,2,1,0
"105369839",0,0,0,0,0,0
"105369840",0,0,0,0,1,0
"105369841",0,0,0,0,2,0
"100507377",1,0,0,0,0,0
"107987178",1,1,0,0,1,0
"552889",950,919,1143,951,1072,1291
"101929967",0,0,0,0,0,0
"105369842",2,1,0,0,0,1
"105369843",0,0,0,0,0,0
"3747",0,1,0,0,0,0
"100130268",0,0,0,0,0,0
"107983975",0,0,0,0,0,0
"84698",0,2,0,2,0,3
"256710",1,0,0,0,0,0
"144321",3,2,2,0,2,0
"11010",405,334,414,330,363,340
"11103",1086,917,1122,907,955,1045
"105369844",12,6,18,6,9,16
"107984533",0,0,0,0,0,0
"105369846",0,2,4,3,1,4
"105369847",2,1,9,1,2,1
"22822",3183,2567,3185,2685,2634,4545
"4673",18054,16776,18169,14711,15736,16079
"105369848",0,0,0,0,0,0
"79738",91,128,123,104,136,147
"114882",1168,919,1037,949,1088,1250
"105369850",10,10,8,11,4,12
"105369851",0,0,0,0,0,0
"23390",436,438,544,493,625,623
"1466",200,169,209,184,177,209
"144455",199,142,175,166,148,271
"105369853",0,0,0,0,0,0
"105369854",0,0,1,0,0,2
"105369855",4,2,2,0,0,0
"105369856",0,0,0,0,0,0
"89795",7,8,4,6,4,5
