Genes,DisGeNET_Term,DisGeNET_Pvalue_Adjusted,GeDiPNet_Term,GeDiPNet_Pvalue_Adjusted,Orphanet_Term,Orphanet_Pvalue_Adjusted,Virus_Host_Term,Virus_Host_Pvalue_Adjusted,Host organism(s)_Intact,Confidence value(s)_Intact,Taxid interactor A_Intact,Taxid interactor B_Intact
HS3ST1,Tumor Progression,0.0149315928814189,,,,,,,,,,
HTATIP2,Colorectal Carcinoma; Breast Carcinoma; Colorectal Cancer; Tumor Progression; melanoma; Squamous cell carcinoma; Malignant neoplasm of breast; Carcinogenesis,0.0034602840073026; 0.0042545616049287; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0182265588252201; 0.0191435238361999; 0.0228075668512991,,,,,,,Homo sapiens A549 lung carcinoma cell,0.35,Human SARS coronavirus;SARS-CoV-2,Homo sapiens
HYAL1,Mammary Neoplasms; Ovarian Carcinoma; Breast Carcinoma; Tumor Progression; Squamous cell carcinoma; ovarian neoplasm; Malignant neoplasm of breast; Malignant neoplasm of ovary; Epithelial ovarian cancer,0.0034602840073026; 0.0034602840073026; 0.0042545616049287; 0.0149315928814189; 0.0182265588252201; 0.0191435238361999; 0.0191435238361999; 0.0277695594716545; 0.0387439397151409,,,,,,,,,,
ICA1,Colorectal Carcinoma; Colorectal Cancer,0.0034602840073026; 0.0149315928814189,,,,,,,yeasx,0.37,Bacillus anthracis,Homo sapiens
ID2,Ovarian Carcinoma; Epithelioma; Squamous cell carcinoma; ovarian neoplasm; Carcinogenesis; Malignant neoplasm of ovary,0.0034602840073026; 0.0149002095788623; 0.0182265588252201; 0.0191435238361999; 0.0228075668512991; 0.0277695594716545,,,,,,,Homo sapiens;yeasx,0.4;0.55;0.56,Homo sapiens;Saccharomyces cerevisiae,Homo sapiens;Saccharomyces cerevisiae
IL22RA1,Colorectal Carcinoma; Colorectal Cancer,0.0034602840073026; 0.0149315928814189,,,Severe generalized junctional epidermolysis bullosa ORPHA:79404; Kindler epidermolysis bullosa ORPHA:2908; Autosomal recessive infantile hypercalcemia ORPHA:300547; Neonatal ichthyosis-sclerosing cholangitis syndrome ORPHA:59303; Partial corpus callosum agenesis-cerebellar vermis hypoplasia with posterior fossa cysts syndrome ORPHA:401959; Junctional epidermolysis bullosa with pyloric atresia ORPHA:79403,0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883,,,,,,
IQGAP2,"Ovarian Carcinoma; Stomach Carcinoma; Malignant neoplasm of stomach; Carcinogenesis; Malignant neoplasm of ovary; Brain Tumor, Primary",0.0034602840073026; 0.0149315928814189; 0.0191435238361999; 0.0228075668512991; 0.0277695594716545; 0.044151975756427,,,,,,,In vitro;yeasx,0.35;0.37;0.46,Bacillus anthracis;Homo sapiens;chemical synthesis,Homo sapiens;ebvg;hcvjf
ISL1,Breast Carcinoma; Stomach Carcinoma; Malignant neoplasm of breast; Malignant neoplasm of stomach; Carcinogenesis,0.0042545616049287; 0.0149315928814189; 0.0191435238361999; 0.0191435238361999; 0.0228075668512991,,,,,,,,,,
ITGA2,Mammary Neoplasms; Ovarian Carcinoma; Breast Carcinoma; Tumor Progression; Stomach Carcinoma; melanoma; Adenocarcinoma; Malignant neoplasm of breast; Fibrosarcoma; Malignant neoplasm of stomach; Malignant neoplasm of ovary; Medulloblastoma,0.0034602840073026; 0.0034602840073026; 0.0042545616049287; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0155921563748247; 0.0191435238361999; 0.0191435238361999; 0.0191435238361999; 0.0277695594716545; 0.0354767239335874,,,"Arnold-Chiari malformation type I ORPHA:268882; Autosomal recessive nail dysplasia ORPHA:280654; Hereditary arterial and articular multiple calcification syndrome ORPHA:289601; Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504; Auriculocondylar syndrome ORPHA:137888; Severe generalized junctional epidermolysis bullosa ORPHA:79404; Benign recurrent intrahepatic cholestasis type 1 ORPHA:99960; Isolated hyperchlorhidrosis ORPHA:542657; Kindler epidermolysis bullosa ORPHA:2908; Laryngo-onycho-cutaneous syndrome ORPHA:2407; Myelodysplastic syndrome ORPHA:52688; Radio-ulnar synostosis-amegakaryocytic thrombocytopenia syndrome ORPHA:71289; Hereditary papillary renal cell carcinoma ORPHA:47044; Neonatal ichthyosis-sclerosing cholangitis syndrome ORPHA:59303; Osteofibrous dysplasia ORPHA:488265; PPARG-related familial partial lipodystrophy ORPHA:79083; Partial corpus callosum agenesis-cerebellar vermis hypoplasia with posterior fossa cysts syndrome ORPHA:401959; Autosomal recessive generalized dystrophic epidermolysis bullosa, severe form ORPHA:79408; Familial primary localized cutaneous amyloidosis ORPHA:353220; Junctional epidermolysis bullosa with pyloric atresia ORPHA:79403; Neonatal inflammatory skin and bowel disease ORPHA:294023; Pediatric hepatocellular carcinoma ORPHA:33402; Erythrokeratodermia variabilis ORPHA:317",0.00518481975049; 0.00518481975049; 0.00518481975049; 0.00518481975049; 0.00518481975049; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0183145313768111,,,In vitro;ecoli;yeasx,0.35;0.37;0.44;0.56;0.59,Homo sapiens;Mus musculus;chemical synthesis;chick;rat;rots1,Echis multisquamatus;Homo sapiens;Mus musculus;bovin;coxbu
KAT2B,Colorectal Carcinoma; Mammary Neoplasms; Ovarian Carcinoma; Breast Carcinoma; Invasive carcinoma of breast; Colorectal Cancer; Stomach Carcinoma; Pre B-cell acute lymphoblastic leukemia; Malignant neoplasm of breast; Malignant neoplasm of stomach; Carcinogenesis; Malignant neoplasm of ovary; Medulloblastoma,0.0034602840073026; 0.0034602840073026; 0.0034602840073026; 0.0042545616049287; 0.0149002095788623; 0.0149315928814189; 0.0149315928814189; 0.0189794808441368; 0.0191435238361999; 0.0191435238361999; 0.0228075668512991; 0.0277695594716545; 0.0354767239335874,,,,,,,Homo sapiens CD4+ T-cell;Homo sapiens HeLa epitheloid cervical carcinoma cell;Homo sapiens LNCaP caucasian prostate adenocarcinoma cell;Homo sapiens M059JK glioblastoma cell;Homo sapiens U2OS osteosarcoma cell;In vitro;Saccharomyces cerevisiae,0.35;0.4;0.44;0.51;0.66,Homo sapiens;ade05,-;Homo sapiens;ade05;chemical synthesis
KBTBD8,Malignant neoplasm of breast,0.0191435238361999,Breast Cancer,0.0402286636010764,,,,,,,,
KCNN4,Breast Carcinoma,0.0042545616049287,Breast Carcinoma,0.0075861267486594,,,,,,,,
KITLG,"Colorectal Carcinoma; Mammary Neoplasms; Ovarian Carcinoma; Breast Carcinoma; Invasive carcinoma of breast; Epithelioma; Colorectal Cancer; Tumor Progression; Stomach Carcinoma; melanoma; Adenocarcinoma; Squamous cell carcinoma; ovarian neoplasm; Malignant neoplasm of breast; Fibrosarcoma; Malignant neoplasm of stomach; Carcinogenesis; Malignant neoplasm of ovary; Carcinoma, Spindle-Cell",0.0034602840073026; 0.0034602840073026; 0.0034602840073026; 0.0042545616049287; 0.0149002095788623; 0.0149002095788623; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0155921563748247; 0.0182265588252201; 0.0191435238361999; 0.0191435238361999; 0.0191435238361999; 0.0191435238361999; 0.0228075668512991; 0.0277695594716545; 0.0308703957553632,Anomalous Pulmonary Artery; Anaplastic Carcinoma,0.0075861267486594; 0.0402286636010764,"Atrial septal defect, ostium primum type ORPHA:99106; Arnold-Chiari malformation type I ORPHA:268882; Autosomal recessive nail dysplasia ORPHA:280654; Neonatal diabetes-congenital hypothyroidism-congenital glaucoma-hepatic fibrosis-polycystic kidneys syndrome ORPHA:79118; SIX2-related frontonasal dysplasia ORPHA:488437; Auriculocondylar syndrome ORPHA:137888; Peters anomaly ORPHA:708; 20p12.3 microdeletion syndrome ORPHA:261295; Familial progressive hyper- and hypopigmentation ORPHA:280628; Familial progressive hyperpigmentation ORPHA:79146; Isolated hyperchlorhidrosis ORPHA:542657; Kindler epidermolysis bullosa ORPHA:2908; Laryngo-onycho-cutaneous syndrome ORPHA:2407; Ulnar-mammary syndrome ORPHA:3138; Axenfeld anomaly ORPHA:98978; Axenfeld-Rieger syndrome ORPHA:782; Papillary renal cell carcinoma ORPHA:319298; Radio-ulnar synostosis-amegakaryocytic thrombocytopenia syndrome ORPHA:71289; Rieger anomaly ORPHA:91483; Brachydactyly type A2 ORPHA:93396; Unverricht-Lundborg disease ORPHA:308; Waardenburg syndrome type 2 ORPHA:895; Early-onset nuclear cataract ORPHA:98991; Acute inflammatory demyelinating polyradiculoneuropathy ORPHA:98916; Autosomal dominant Charcot-Marie-Tooth disease type 2L ORPHA:99945; Autosomal dominant distal axonal motor neuropathy-myofibrillar myopathy syndrome ORPHA:476093; Autosomal recessive brachyolmia ORPHA:448242; Charcot-Marie-Tooth disease type 1A ORPHA:101081; Charcot-Marie-Tooth disease type 1E ORPHA:90658; Craniosynostosis, Boston type ORPHA:1541; Hereditary neuropathy with liability to pressure palsies ORPHA:640; Hereditary papillary renal cell carcinoma ORPHA:47044; Lethal occipital encephalocele-skeletal dysplasia syndrome ORPHA:293925; Myopathic Ehlers-Danlos syndrome ORPHA:536516; Nance-Horan syndrome ORPHA:627; Osteofibrous dysplasia ORPHA:488265; PPARG-related familial partial lipodystrophy ORPHA:79083; Parietal foramina with clavicular hypoplasia ORPHA:251290; Resistance to thyroid hormone due to a mutation in thyroid hormone receptor beta ORPHA:566243; Spondyloepimetaphyseal dysplasia, PAPSS2 type ORPHA:93282; Uveal coloboma-cleft lip and palate-intellectual disability ORPHA:1473; X-linked osteoporosis with fractures ORPHA:391330; Neonatal inflammatory skin and bowel disease ORPHA:294023; Pediatric hepatocellular carcinoma ORPHA:33402",0.0040361447187818; 0.00518481975049; 0.00518481975049; 0.00518481975049; 0.00518481975049; 0.00518481975049; 0.00518481975049; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083744975290613; 0.0083744975290613; 0.0092060390928213; 0.0179885731122231; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883,,,In vitro,0.44,Homo sapiens,Homo sapiens
KRT13,Breast Carcinoma; Tumor Progression; Adenocarcinoma; Squamous cell carcinoma; Malignant neoplasm of breast,0.0042545616049287; 0.0149315928814189; 0.0155921563748247; 0.0182265588252201; 0.0191435238361999,Esophagus Neoplasm,0.0102679590519094,Autosomal recessive infantile hypercalcemia ORPHA:300547; Bamforth-Lazarus syndrome ORPHA:1226,0.0083045131203191; 0.0180064224283883,,,In vitro;yeasx,0.35;0.56,Homo sapiens;chemical synthesis,Homo sapiens
KRT23,Colorectal Carcinoma; Colorectal Cancer; Adenocarcinoma,0.0034602840073026; 0.0149315928814189; 0.0155921563748247,,,,,,,,,,
LAMA3,Mammary Neoplasms; Ovarian Carcinoma; Stomach Carcinoma; Adenocarcinoma; Malignant neoplasm of breast; Malignant neoplasm of stomach; Epithelial ovarian cancer,0.0034602840073026; 0.0034602840073026; 0.0149315928814189; 0.0155921563748247; 0.0191435238361999; 0.0191435238361999; 0.0387439397151409,,,"Atrial septal defect, ostium primum type ORPHA:99106; Autosomal recessive nail dysplasia ORPHA:280654; Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504; Severe generalized junctional epidermolysis bullosa ORPHA:79404; Benign recurrent intrahepatic cholestasis type 1 ORPHA:99960; Isolated hyperchlorhidrosis ORPHA:542657; Kindler epidermolysis bullosa ORPHA:2908; Laryngo-onycho-cutaneous syndrome ORPHA:2407; Myelodysplastic syndrome ORPHA:52688; Papillary renal cell carcinoma ORPHA:319298; Radio-ulnar synostosis-amegakaryocytic thrombocytopenia syndrome ORPHA:71289; Bamforth-Lazarus syndrome ORPHA:1226; Hereditary papillary renal cell carcinoma ORPHA:47044; Neonatal ichthyosis-sclerosing cholangitis syndrome ORPHA:59303; Osteofibrous dysplasia ORPHA:488265; PPARG-related familial partial lipodystrophy ORPHA:79083; Pancreatic hypoplasia-diabetes-congenital heart disease syndrome ORPHA:2255; Partial corpus callosum agenesis-cerebellar vermis hypoplasia with posterior fossa cysts syndrome ORPHA:401959; Resistance to thyroid hormone due to a mutation in thyroid hormone receptor beta ORPHA:566243; Junctional epidermolysis bullosa with pyloric atresia ORPHA:79403; Erythrokeratodermia variabilis ORPHA:317",0.0040361447187818; 0.00518481975049; 0.00518481975049; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0183145313768111,,,Homo sapiens;Homo sapiens HEK293 embryonic kidney cell,0.35;0.4,Homo sapiens;ebvb9,Homo sapiens
LAMP3,Mammary Neoplasms; Ovarian Carcinoma; Breast Carcinoma; Tumor Progression; Stomach Carcinoma; melanoma; Adenocarcinoma; Malignant neoplasm of breast; Malignant neoplasm of stomach; Malignant neoplasm of ovary; Epithelial ovarian cancer,0.0034602840073026; 0.0034602840073026; 0.0042545616049287; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0155921563748247; 0.0191435238361999; 0.0191435238361999; 0.0277695594716545; 0.0387439397151409,,,Odonto-onycho-dermal dysplasia ORPHA:2721; Schopf-Schulz-Passarge syndrome ORPHA:50944,0.0180064224283883; 0.0180064224283883,,,Homo sapiens HEK293T embryonic kidney cell,0.35,Homo sapiens,Homo sapiens
LIFR,Colorectal Carcinoma; Mammary Neoplasms; Ovarian Carcinoma; Breast Carcinoma; Colorectal Cancer; Stomach Carcinoma; melanoma; Malignant neoplasm of breast; Malignant neoplasm of stomach; Carcinogenesis; Medulloblastoma,0.0034602840073026; 0.0034602840073026; 0.0034602840073026; 0.0042545616049287; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0191435238361999; 0.0191435238361999; 0.0228075668512991; 0.0354767239335874,Congenital Anomalies Of Kidney And Urinary Tract,0.0075861267486594,"Atrial septal defect, ostium primum type ORPHA:99106; Neonatal diabetes-congenital hypothyroidism-congenital glaucoma-hepatic fibrosis-polycystic kidneys syndrome ORPHA:79118; Atrial septal defect, ostium secundum type ORPHA:99103; Familial porencephaly ORPHA:99810; Familial progressive hyper- and hypopigmentation ORPHA:280628; Familial progressive hyperpigmentation ORPHA:79146; Greig cephalopolysyndactyly syndrome ORPHA:380; Pallister-Hall syndrome ORPHA:672; Polysyndactyly ORPHA:93338; Postaxial polydactyly-anterior pituitary anomalies-facial dysmorphism syndrome ORPHA:420584; Sensorineural deafness with dilated cardiomyopathy ORPHA:217622; Tibial hemimelia ORPHA:93322; Ulnar-mammary syndrome ORPHA:3138; Branchiootic syndrome ORPHA:52429; Myelodysplastic syndrome ORPHA:52688; Brachydactyly type A2 ORPHA:93396; Waardenburg syndrome type 2 ORPHA:895; Bruck syndrome ORPHA:2771; Acute inflammatory demyelinating polyradiculoneuropathy ORPHA:98916; Autosomal dominant Charcot-Marie-Tooth disease type 2L ORPHA:99945; Autosomal dominant distal axonal motor neuropathy-myofibrillar myopathy syndrome ORPHA:476093; CHST3-related skeletal dysplasia ORPHA:263463; COL4A1-related familial vascular leukoencephalopathy ORPHA:36383; Charcot-Marie-Tooth disease type 1A ORPHA:101081; Charcot-Marie-Tooth disease type 1E ORPHA:90658; Cobblestone lissencephaly without muscular or ocular involvement ORPHA:352682; Diaphanospondylodysostosis ORPHA:66637; FBLN1-related developmental delay-central nervous system anomaly-syndactyly syndrome ORPHA:404451; Familial drusen ORPHA:75376; Familial schizencephaly ORPHA:481986; GAPO syndrome ORPHA:2067; HANAC syndrome ORPHA:73229; Hereditary neuropathy with liability to pressure palsies ORPHA:640; Ischiovertebral syndrome ORPHA:85200; Lethal occipital encephalocele-skeletal dysplasia syndrome ORPHA:293925; Mandibulofacial dysostosis with alopecia ORPHA:443995; Myopathic Ehlers-Danlos syndrome ORPHA:536516; Oculocutaneous albinism type 3 ORPHA:79433; Pontine autosomal dominant microangiopathy with leukoencephalopathy ORPHA:477749; Resistance to thyroid hormone due to a mutation in thyroid hormone receptor beta ORPHA:566243; Retinal arterial tortuosity ORPHA:75326; Sorsby pseudoinflammatory fundus dystrophy ORPHA:59181; Steel syndrome ORPHA:438117; Synpolydactyly type 2 ORPHA:295197; Uveal coloboma-cleft lip and palate-intellectual disability ORPHA:1473; X-linked osteoporosis with fractures ORPHA:391330; Congenital cataract microcornea with corneal opacity ORPHA:289499; Congenital diaphragmatic hernia ORPHA:2140; Hypoplastic left heart syndrome ORPHA:2248; Matthew-Wood syndrome ORPHA:2470; Piebaldism ORPHA:2884; Posterior hypospadias ORPHA:95706; Rolandic epilepsy-speech dyspraxia syndrome ORPHA:163721; BOR syndrome ORPHA:107; Tetralogy of Fallot ORPHA:3303",0.0040361447187818; 0.00518481975049; 0.00518481975049; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083744975290613; 0.0092060390928213; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0183145313768111; 0.0277610005156803,,,Homo sapiens,0.35,ebvb9,Homo sapiens
LPAR5,melanoma; Fibrosarcoma,0.0149315928814189; 0.0191435238361999,,,Odonto-onycho-dermal dysplasia ORPHA:2721; Schopf-Schulz-Passarge syndrome ORPHA:50944,0.0180064224283883; 0.0180064224283883,,,,,,
LRIG1,Colorectal Carcinoma; Mammary Neoplasms; Ovarian Carcinoma; Breast Carcinoma; Colorectal Cancer; Squamous cell carcinoma; Malignant neoplasm of breast; Carcinogenesis; Malignant neoplasm of ovary,0.0034602840073026; 0.0034602840073026; 0.0034602840073026; 0.0042545616049287; 0.0149315928814189; 0.0182265588252201; 0.0191435238361999; 0.0228075668512991; 0.0277695594716545,,,,,,,,,,
LZTS1,Colorectal Carcinoma; Ovarian Carcinoma; Breast Carcinoma; Colorectal Cancer; Stomach Carcinoma; melanoma; Adenocarcinoma; Squamous cell carcinoma; Esophageal Neoplasms; Malignant neoplasm of breast; Malignant neoplasm of stomach; Malignant neoplasm of esophagus; Malignant neoplasm of ovary,0.0034602840073026; 0.0034602840073026; 0.0042545616049287; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0155921563748247; 0.0182265588252201; 0.0182265588252201; 0.0191435238361999; 0.0191435238361999; 0.0248454592431097; 0.0277695594716545,Esophagus Neoplasm,0.0102679590519094,,,,,,,,
ME1,Breast Carcinoma; Colorectal Cancer; Carcinogenesis; Epithelial ovarian cancer,0.0042545616049287; 0.0149315928814189; 0.0228075668512991; 0.0387439397151409,,,Papillary renal cell carcinoma ORPHA:319298; Unverricht-Lundborg disease ORPHA:308; PPARG-related familial partial lipodystrophy ORPHA:79083,0.0083045131203191; 0.0083744975290613; 0.0180064224283883,,,In vitro;yeasx,0.35;0.68,Homo sapiens,Homo sapiens;chemical synthesis
MICB,Colorectal Carcinoma; Breast Carcinoma; Colorectal Cancer; Tumor Progression; Malignant neoplasm of breast,0.0034602840073026; 0.0042545616049287; 0.0149315928814189; 0.0149315928814189; 0.0191435238361999,,,,,,,,,,
MIR100HG,Breast Carcinoma; Malignant neoplasm of breast; Medulloblastoma,0.0042545616049287; 0.0191435238361999; 0.0354767239335874,,,,,,,,,,
MIR17HG,Colorectal Carcinoma; Breast Carcinoma; Colorectal Cancer; Tumor Progression; Stomach Carcinoma; melanoma; Adenocarcinoma; Esophageal Neoplasms; Malignant neoplasm of breast; Malignant neoplasm of stomach; Carcinogenesis; Malignant neoplasm of esophagus; Hematopoietic Neoplasms; Medulloblastoma,0.0034602840073026; 0.0042545616049287; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0155921563748247; 0.0182265588252201; 0.0191435238361999; 0.0191435238361999; 0.0228075668512991; 0.0248454592431097; 0.0334891258932371; 0.0354767239335874,,,,,,,,,,
MKNK2,Breast Carcinoma; Malignant neoplasm of breast; Medulloblastoma,0.0042545616049287; 0.0191435238361999; 0.0354767239335874,,,,,,,yeasx,0.37,Homo sapiens,Homo sapiens
MT1E,Mammary Neoplasms; Breast Carcinoma; Invasive Ductal Breast Carcinoma; Malignant neoplasm of breast,0.0034602840073026; 0.0042545616049287; 0.0149002095788623; 0.0191435238361999,,,Hereditary arterial and articular multiple calcification syndrome ORPHA:289601,0.00518481975049,,,,,,
NCEH1,,,,,PPARG-related familial partial lipodystrophy ORPHA:79083,0.0180064224283883,,,Homo sapiens;Homo sapiens A549 lung carcinoma cell;Homo sapiens HEK293T embryonic kidney cell;Homo sapiens QGY7703 hepatocellular carcinoma cell;In vitro,0.35;0.53,Homo sapiens;Human SARS coronavirus;Human coronavirus 229E;Human papillomavirus type 11;Human papillomavirus type 6b;SARS-CoV-2;ade05;canen;chltr;ebvb9,Homo sapiens
NEU1,Colorectal Carcinoma; Mammary Neoplasms; Ovarian Carcinoma; Breast Carcinoma; Epithelioma; Invasive Ductal Breast Carcinoma; Colorectal Cancer; Stomach Carcinoma; melanoma; Adenocarcinoma; ovarian neoplasm; Malignant neoplasm of breast; Malignant neoplasm of stomach; Carcinogenesis; Malignant neoplasm of ovary; Epithelial ovarian cancer,0.0034602840073026; 0.0034602840073026; 0.0034602840073026; 0.0042545616049287; 0.0149002095788623; 0.0149002095788623; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0155921563748247; 0.0191435238361999; 0.0191435238361999; 0.0191435238361999; 0.0228075668512991; 0.0277695594716545; 0.0387439397151409,,,,,,,Homo sapiens HEK293T embryonic kidney cell;In vitro,0.35;0.53,Homo sapiens;SARS-CoV-2;chemical synthesis,Homo sapiens
NGFR,Colorectal Carcinoma; Mammary Neoplasms; Ovarian Carcinoma; Breast Carcinoma; Epithelioma; Colorectal Cancer; Tumor Progression; Stomach Carcinoma; melanoma; Squamous cell carcinoma; Malignant mesothelioma; Malignant neoplasm of breast; Malignant neoplasm of stomach; Carcinogenesis; Medulloblastoma; Epithelial ovarian cancer,0.0034602840073026; 0.0034602840073026; 0.0034602840073026; 0.0042545616049287; 0.0149002095788623; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0182265588252201; 0.0182265588252201; 0.0191435238361999; 0.0191435238361999; 0.0228075668512991; 0.0354767239335874; 0.0387439397151409,,,,,,,,,,
NOLC1,Colorectal Carcinoma; Ovarian Carcinoma; Breast Carcinoma; Colorectal Cancer; Stomach Carcinoma; Squamous cell carcinoma; Malignant neoplasm of breast; Malignant neoplasm of stomach; Carcinogenesis; Epithelial ovarian cancer,0.0034602840073026; 0.0034602840073026; 0.0042545616049287; 0.0149315928814189; 0.0149315928814189; 0.0182265588252201; 0.0191435238361999; 0.0191435238361999; 0.0228075668512991; 0.0387439397151409,,,,,,,Homo sapiens CACO2 Caucasian colon adenocarcinoma cell;In vitro,0.35,SARS-CoV-2;chemical synthesis,Homo sapiens
NR4A2,Colorectal Carcinoma; Breast Carcinoma; Colorectal Cancer; Tumor Progression; Stomach Carcinoma; melanoma; Adenocarcinoma; Malignant neoplasm of breast; Malignant neoplasm of stomach,0.0034602840073026; 0.0042545616049287; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0155921563748247; 0.0191435238361999; 0.0191435238361999,,,,,,,yeasx,0.37,Homo sapiens,Homo sapiens
NRIP1,Mammary Neoplasms; Ovarian Carcinoma; Breast Carcinoma; Adenocarcinoma; Malignant neoplasm of breast; Carcinogenesis; Malignant neoplasm of ovary,0.0034602840073026; 0.0034602840073026; 0.0042545616049287; 0.0155921563748247; 0.0191435238361999; 0.0228075668512991; 0.0277695594716545,Congenital Anomalies Of Kidney And Urinary Tract; Breast Carcinoma; Marfan Syndrome; Mammary Neoplasms; Breast Cancer,0.0075861267486594; 0.0075861267486594; 0.0133304506157067; 0.0155248163763686; 0.0402286636010764,Familial multiple nevi flammei ORPHA:624; Sturge-Weber syndrome ORPHA:3205,0.0180064224283883; 0.0180064224283883,,,,,,
OGFR,Ovarian Carcinoma; Tumor Progression; Malignant neoplasm of ovary,0.0034602840073026; 0.0149315928814189; 0.0277695594716545,,,,,,,,,,
OIP5,Breast Carcinoma; Stomach Carcinoma; Squamous cell carcinoma; Esophageal Neoplasms; Malignant neoplasm of breast; Malignant neoplasm of stomach; Carcinogenesis; Malignant neoplasm of esophagus,0.0042545616049287; 0.0149315928814189; 0.0182265588252201; 0.0182265588252201; 0.0191435238361999; 0.0191435238361999; 0.0228075668512991; 0.0248454592431097,,,Chronic atrial and intestinal dysrhythmia syndrome ORPHA:435988; Multinucleated neurons-anhydramnios-renal dysplasia-cerebellar hypoplasia-hydranencephaly syndrome ORPHA:500135; NON RARE IN EUROPE: Lactase non-persistence in adulthood ORPHA:319681,0.0180064224283883; 0.0180064224283883; 0.0180064224283883,,,Homo sapiens HEK293T embryonic kidney cell;Saccharomyces cerevisiae;yeasx,0.35;0.56;0.67,Homo sapiens,Homo sapiens
P2RX7,Mammary Neoplasms; Breast Carcinoma; Colorectal Cancer; Tumor Progression; melanoma; Adenocarcinoma; Malignant neoplasm of breast; Carcinogenesis; Hematopoietic Neoplasms,0.0034602840073026; 0.0042545616049287; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0155921563748247; 0.0191435238361999; 0.0228075668512991; 0.0334891258932371,Lymphocytic Leukemia,0.0487679768343083,,,,,,,,
P3H2,Breast Carcinoma; melanoma; Malignant neoplasm of breast,0.0042545616049287; 0.0149315928814189; 0.0191435238361999,Breast Cancer,0.0402286636010764,20p12.3 microdeletion syndrome ORPHA:261295; Autosomal recessive spastic paraplegia type 66 ORPHA:401815,0.0083045131203191; 0.0180064224283883,,,yeasx,0.37,Bacillus anthracis;Homo sapiens,Bacillus anthracis;Homo sapiens
PADI3,Malignant neoplasm of breast; Carcinogenesis,0.0191435238361999; 0.0228075668512991,Breast Cancer,0.0402286636010764,Autosomal recessive infantile hypercalcemia ORPHA:300547; Bamforth-Lazarus syndrome ORPHA:1226,0.0083045131203191; 0.0180064224283883,,,yeasx,0.67,Homo sapiens,Homo sapiens
